ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
568	0.588024	2.75e-01	1.1145104	-5.569476	0.3987441		
19548	0.588024	2.75e-01	-1.1144902	-5.569497	-0.6180348	ATRX	ATRX, chromatin remodeler
15897	0.588058	2.75e-01	1.1144204	-5.569571	0.5610756	DUOX1	dual oxidase 1
26369	0.588067	2.75e-01	-1.1143783	-5.569615	-0.4285904	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)
10736	0.588068	2.75e-01	-1.1143446	-5.569651	-0.4066427	HECA	hdc homolog, cell cycle regulator
35903	0.588087	2.75e-01	1.1142918	-5.569706	0.5057358	TEX38	testis expressed 38
9082	0.588154	2.75e-01	-1.1141847	-5.569819	-0.5563791		
7022	0.588238	2.75e-01	-1.1140588	-5.569952	-0.4499649	OTX1	orthodenticle homeobox 1
21157	0.588369	2.75e-01	-1.1138817	-5.570139	-0.4294737	SLAIN2	SLAIN motif family member 2
7280	0.588455	2.75e-01	1.1137421	-5.570286	0.4872175	C2orf72	chromosome 2 open reading frame 72
20827	0.588455	2.75e-01	-1.1137143	-5.570316	-0.3268287	RFXANK	regulatory factor X associated ankyrin containing protein
31735	0.588455	2.75e-01	-1.1136899	-5.570341	-0.4396812	SEMA4B	semaphorin 4B
31448	0.588458	2.75e-01	1.1136268	-5.570408	0.3779591	IER5	immediate early response 5
19717	0.588458	2.75e-01	-1.1136218	-5.570413	-0.282833	COPS3	COP9 signalosome subunit 3
1983	0.588463	2.75e-01	1.1135773	-5.57046	0.4171908	LOC254896	uncharacterized LOC254896
31792	0.588463	2.75e-01	-1.1135523	-5.570487	-0.7038731	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta
41640	0.588469	2.75e-01	-1.1135135	-5.570527	-0.5050826	EP400	E1A binding protein p400
21072	0.58847	2.75e-01	-1.1134549	-5.570589	-0.2470785	CNBD2	cyclic nucleotide binding domain containing 2
40693	0.58847	2.75e-01	1.1134252	-5.570621	0.2580312	EPO	erythropoietin
24799	0.58847	2.75e-01	-1.1134156	-5.570631	-0.4146038	SEC61A2	Sec61 translocon alpha 2 subunit
23051	0.588522	2.76e-01	-1.113295	-5.570758	-0.3215794	TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog
16147	0.588522	2.76e-01	1.1132929	-5.57076	0.3801679	GPR6	G protein-coupled receptor 6
10231	0.588524	2.76e-01	1.1132591	-5.570796	0.3459842	ID2	inhibitor of DNA binding 2, HLH protein
41395	0.588654	2.76e-01	-1.11305	-5.571016	-0.3463543		
38737	0.588654	2.76e-01	1.1130302	-5.571037	0.3038305	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator
19791	0.588654	2.76e-01	-1.113018	-5.57105	-0.5666726	CHD7	chromodomain helicase DNA binding protein 7
37713	0.58879	2.76e-01	-1.1128351	-5.571243	-0.5892511	ARHGEF10	Rho guanine nucleotide exchange factor 10
30126	0.588796	2.76e-01	1.1127777	-5.571303	0.7752332	CPA3	carboxypeptidase A3
27600	0.588796	2.76e-01	-1.1127636	-5.571318	-0.325192	ALG1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase
13519	0.588796	2.76e-01	-1.1127315	-5.571352	-0.4282971		
21881	0.588856	2.76e-01	-1.1126325	-5.571456	-0.33171	MED8	mediator complex subunit 8
143	0.588945	2.76e-01	-1.112502	-5.571594	-0.5232075	ZYG11B	zyg-11 family member B, cell cycle regulator
6338	0.588957	2.76e-01	-1.112457	-5.571641	-0.2306364	RPL32	ribosomal protein L32
12782	0.588957	2.76e-01	1.1124194	-5.571681	0.4381145	PHACTR1	phosphatase and actin regulator 1
39780	0.588957	2.76e-01	-1.1123918	-5.57171	-0.3511942	TERF2	telomeric repeat binding factor 2
2967	0.588981	2.76e-01	-1.1123331	-5.571772	-0.3770043	NOTCH3	notch 3
12767	0.589042	2.76e-01	-1.1122334	-5.571877	-0.4474881	THNSL2	threonine synthase like 2
22502	0.589053	2.76e-01	-1.1121889	-5.571924	-0.5060997	LOC100129447	uncharacterized LOC100129447
35134	0.589148	2.76e-01	-1.1120517	-5.572068	-0.3326863	WDR82	WD repeat domain 82
13286	0.589183	2.76e-01	-1.1119802	-5.572144	-0.456496	CCDC186	coiled-coil domain containing 186
26688	0.589213	2.76e-01	-1.1119147	-5.572213	-0.590806	EIF3E	eukaryotic translation initiation factor 3 subunit E
32492	0.589228	2.76e-01	-1.1118664	-5.572264	-0.3716758	IL17RD	interleukin 17 receptor D
39626	0.589242	2.76e-01	-1.1118189	-5.572314	-0.2667759	PAX2	paired box 2
15247	0.589259	2.76e-01	-1.1117675	-5.572368	-0.4708327	LOC81787	uncharacterized LOC81787
22853	0.5893	2.76e-01	-1.1116896	-5.57245	-0.4038196	PDSS2	prenyl (decaprenyl) diphosphate synthase, subunit 2
33282	0.589308	2.76e-01	1.1116369	-5.572505	0.3130769		
3193	0.589308	2.76e-01	-1.1115807	-5.572564	-0.4025463	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1
37534	0.589308	2.76e-01	1.1115565	-5.57259	0.3057796	GSG1	germ cell associated 1
42508	0.589308	2.76e-01	-1.1115291	-5.572619	-0.4588788	PPP1R3F	protein phosphatase 1 regulatory subunit 3F
34926	0.589308	2.76e-01	-1.1115061	-5.572643	-0.4282758		
