Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Apical Surface,-2.678362e-01,-9.367292e-01,5.418251e-01,7.225730e-01,1.000000e+00,16/43,23.41%,IL2RG;MAL;THY1;TMEM8B;AKAP7;GAS1;SULF2;LYN;SRPX;GSTM3;PLAUR;SLC22A12;HSPB1;IL2RB;GATA3;RHCG
prerank,TNF-alpha Signaling via NF-kB,-2.065491e-01,-9.273671e-01,6.772727e-01,7.247264e-01,1.000000e+00,50/199,18.48%,NR4A3;CSF1;CCL5;GEM;IL7R;TNFAIP8;CXCL10;CCL2;DUSP4;CCRL2;ATP2B1;BTG2;KLF4;IL23A;TNIP1;LIF;RNF19B;MAFF;PLEK;RIPK2;JAG1;REL;CXCL6;EFNA1;F3;CXCL1;SPHK1;TNFAIP2;CD69;TANK;GFPT2;CCND1;DNAJB4;GPR183;PMEPA1;DENND5A;PTPRE;TAP1;ACKR3;BMP2;IRF1;CCL20;PLAUR;BCL2A1;MARCKS;TNFRSF9;ICAM1;MYC;SNN;SMAD3
prerank,mTORC1 Signaling,-2.070204e-01,-9.234922e-01,6.612529e-01,7.106022e-01,1.000000e+00,67/195,25.66%,GAPDH;SERPINH1;CACYBP;GPI;ALDOA;CTSC;TUBG1;CXCR4;ELOVL5;UFM1;ACTR3;PPIA;HSPA4;SSR1;ASNS;BTG2;SLC6A6;PSMC4;FDXR;PSMA4;CORO1A;PDAP1;STC1;RPA1;NFKBIB;SLA;TPI1;ACTR2;GTF2H1;PSMA3;SLC1A5;ADD3;TES;SLC9A3R1;CCNG1;VLDLR;PIK3R3;PSMB5;MTHFD2;MLLT11;RIT1;UNG;NUFIP1;LGMN;BCAT1;TXNRD1;PGK1;PSPH;LTA4H;EGLN3;IGFBP5;ACLY;ARPC5L;SYTL2;CYB5B;STARD4;SEC11A;IMMT;YKT6;SKAP2;AK4;ABCF2;SERP1;NUP205;PSMD14;PPA1;GLA
prerank,Estrogen Response Early,2.136185e-01,9.233910e-01,6.601423e-01,7.481630e-01,1.000000e+00,51/197,17.68%,FARP1;OPN3;B4GALT1;ADCY1;ABLIM1;INPP5F;FLNB;IL6ST;SLC1A1;NCOR2;TIAM1;IGFBP4;ABAT;FKBP4;SLC7A2;P2RY2;FHL2;ANXA9;KLK10;RET;SVIL;GREB1;DLC1;ADCY9;LRIG1;GFRA1;SCARB1;AR;RAB17;CD44;SYBU;NAV2;FAM102A;SYT12;SIAH2;MED13L;BLVRB;NRIP1;KAZN;SLC1A4;XBP1;ISG20L2;NPY1R;KRT18;TGIF2;ITPK1;MSMB;ASB13;DHRS3;REEP1;PPIF
prerank,Notch Signaling,2.934065e-01,9.195546e-01,5.687885e-01,7.098337e-01,1.000000e+00,9/32,15.61%,FZD7;NOTCH2;FZD1;LFNG;TCF7L2;ST3GAL6;KAT2A;APH1A;PRKCA
prerank,G2-M Checkpoint,-2.069970e-01,-9.166905e-01,6.919540e-01,7.074527e-01,1.000000e+00,65/193,26.90%,STMN1;HMGN2;E2F3;SLC38A1;NUP50;DR1;HUS1;RAD54L;SLC12A2;BUB3;TRAIP;TACC3;NUP98;SNRPD1;KPNA2;SRSF10;MAD2L1;NCL;XPO1;HNRNPD;CDKN2C;POLA2;RPA2;RBL1;CDK4;EZH2;CCND1;MEIS2;ABL1;MARCKS;PRMT5;MYC;CDC7;SMAD3;NEK2;CBX1;RPS6KA5;CDKN1B;NUSAP1;PML;NDC80;KIF11;HIF1A;RACGAP1;MCM3;CKS1B;KIF2C;RASAL2;PTTG1;ORC5;MTF2;YTHDC1;PLK4;TOP2A;BRCA2;KIF23;ODF2;CDKN3;KPNB1;HSPA8;SYNCRIP;ILF3;CENPA;TOP1;UPF1
prerank,TGF-beta Signaling,2.632009e-01,9.166404e-01,5.945946e-01,6.755879e-01,1.000000e+00,19/54,17.64%,SMAD1;SKI;ARID4B;NCOR2;UBE2D3;CTNNB1;FNTA;SKIL;PPP1R15A;ACVR1;TRIM33;HIPK2;SPTBN1;ID2;SERPINE1;PPM1A;CDK9;FURIN;TJP1
prerank,Estrogen Response Late,1.949101e-01,8.412558e-01,8.471002e-01,8.039481e-01,1.000000e+00,45/199,16.60%,FARP1;ASS1;OPN3;DNAJC12;FLNB;IL6ST;GAL;NCOR2;TIAM1;HOMER2;IGFBP4;CCNA1;ETFB;FKBP4;PRLR;SERPINA5;SLC29A1;ANXA9;SERPINA3;KLK10;GJB3;RET;GALE;SORD;SCARB1;CYP4F11;LARGE1;CD44;ATP2B4;S100A9;CD9;FAM102A;HPRT1;SIAH2;IGSF1;BLVRB;ID2;NRIP1;ACOX2;SLC1A4;XBP1;NPY1R;GPER1;ITPK1;IMPA2
prerank,KRAS Signaling Dn,-1.547074e-01,-7.006192e-01,9.978261e-01,1.000000e+00,1.000000e+00,29/196,15.60%,AKR1B10;FGFR3;GDNF;IFI44L;KMT2D;MFSD6;WNT16;CLDN8;BTG2;VPS50;PROP1;GPR3;PLAG1;TGFB2;CPB1;SIDT1;ZNF112;PKP1;PTGFR;EPHA5;CHST2;KCNQ2;RGS11;COL2A1;TCL1A;SLC29A3;ATP6V1B1;GAMT;HSD11B2
prerank,Pancreas Beta Cells,-1.883944e-01,-6.482950e-01,9.543568e-01,9.905498e-01,1.000000e+00,7/40,12.37%,AKT3;SYT13;SPCS1;INSM1;STXBP1;SCGN;SRP9
