ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1678678	0.0215774	1.82e-03	3.4741452	-1.395336	0.37494636	256219591	SLC37A4	solute carrier family 37 member 4
ILMN_1698020	0.0216011	1.82e-03	3.4736159	-1.396584	0.78308239	256017149	DLC1	DLC1 Rho GTPase activating protein
ILMN_1782754	0.0216369	1.82e-03	-3.4728358	-1.398423	-0.16749582	974141109	PAGE4	PAGE family member 4
ILMN_1812904	0.0216369	1.82e-03	3.4727698	-1.398579	0.24141083	NA		
ILMN_2357382	0.021646	1.82e-03	-3.4725078	-1.399196	-0.13720783	189409139	TERF1	telomeric repeat binding factor 1
ILMN_2155323	0.0216461	1.82e-03	3.4724061	-1.399436	0.16615872	223941843	ZNF652	zinc finger protein 652
ILMN_1905829	0.0216461	1.82e-03	-3.4723135	-1.399654	-0.1571614	39645345	LOC101927248	uncharacterized LOC101927248
ILMN_1672486	0.0216732	1.83e-03	3.471719	-1.401056	0.31128395	226371744	TCF7L2	transcription factor 7 like 2
ILMN_1863810	0.0216732	1.83e-03	-3.4716286	-1.401269	-0.20320787	5545910		
ILMN_1710558	0.0216779	1.83e-03	3.471447	-1.401697	0.11219572	NA		
ILMN_2277676	0.0216816	1.83e-03	-3.4712834	-1.402083	-0.27010942	260593722	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit
ILMN_1815115	0.0216838	1.83e-03	-3.4711477	-1.402402	-0.23242899	570359593	CYC1	cytochrome c1
ILMN_1790109	0.0216906	1.83e-03	-3.4709274	-1.402922	-0.16289302	141802733	THAP8	THAP domain containing 8
ILMN_1748352	0.0216927	1.83e-03	-3.4707932	-1.403238	-0.21828531	320118899	CTSV	cathepsin V
ILMN_1708891	0.0217092	1.83e-03	-3.4703989	-1.404167	-0.19252981	40255253	SCFD2	sec1 family domain containing 2
ILMN_1709809	0.021725	1.83e-03	-3.4699655	-1.405189	-0.39592964	389616146	SNU13	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)
ILMN_1651574	0.021725	1.83e-03	-3.4699198	-1.405297	-0.18004167	345090976	AQP3	aquaporin 3 (Gill blood group)
ILMN_1881752	0.0217823	1.84e-03	3.4687312	-1.408098	0.14776942	19607862		
ILMN_1746265	0.0217823	1.84e-03	-3.4686727	-1.408235	-0.23751594	527317409	SARM1	sterile alpha and TIR motif containing 1
ILMN_1661537	0.0217823	1.84e-03	-3.468592	-1.408426	-0.26688971	310923130	LEPROT	leptin receptor overlapping transcript
ILMN_1849013	0.0217833	1.84e-03	3.4684775	-1.408695	0.36396962	76879791	IL6ST	interleukin 6 signal transducer
ILMN_1664362	0.0217838	1.84e-03	-3.4683733	-1.408941	-0.36756597	815890977	SGIP1	SH3 domain GRB2 like endophilin interacting protein 1
ILMN_1796377	0.0218251	1.85e-03	-3.4675306	-1.410927	-0.2411682	994310945	C14orf37	chromosome 14 open reading frame 37
ILMN_1769993	0.0218311	1.85e-03	3.4673266	-1.411407	0.12999474	48717446	LCN9	lipocalin 9
ILMN_2366864	0.0218468	1.85e-03	-3.4669459	-1.412304	-0.19651383	213972606	JUP	junction plakoglobin
ILMN_1827846	0.0218844	1.85e-03	3.4661712	-1.414129	0.12211284	7278881		
ILMN_2374249	0.0218847	1.85e-03	-3.466063	-1.414384	-0.33822009	153281166	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
ILMN_1712944	0.0218847	1.85e-03	-3.465963	-1.41462	-0.20599382	39811997	AES	amino-terminal enhancer of split
ILMN_1704154	0.0218847	1.85e-03	-3.465871	-1.414837	-0.77254676	325120957	TNFRSF19	TNF receptor superfamily member 19
ILMN_1890834	0.0218847	1.85e-03	3.465784	-1.415042	0.14073628	27847939		
ILMN_2397178	0.0219183	1.86e-03	3.4650184	-1.416845	0.17980589	390608648	PDC	phosducin
ILMN_1784717	0.0219183	1.86e-03	-3.4649879	-1.416917	-0.2427316	48255921	RPS19	ribosomal protein S19
ILMN_1800642	0.0219424	1.86e-03	3.4643916	-1.418322	0.61431614	223718142	RELN	reelin
ILMN_1681751	0.0219424	1.86e-03	-3.4643632	-1.418388	-0.21293724	125345708	ANKRD18DP	ankyrin repeat domain 18D, pseudogene
ILMN_1787386	0.0219454	1.86e-03	-3.4641894	-1.418798	-0.16177554	525313722	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13
ILMN_1659257	0.0219454	1.86e-03	-3.46399	-1.419267	-0.15367666	NA		
ILMN_1742578	0.0219454	1.86e-03	3.4639775	-1.419297	0.38316537	223890247	MKLN1	muskelin 1
ILMN_2185866	0.0219454	1.86e-03	-3.4639271	-1.419416	-0.31342704	28476828	PCDHB17P	protocadherin beta 17 pseudogene
ILMN_2325112	0.0219535	1.86e-03	-3.4636852	-1.419985	-0.19822389	57232757	CDPF1	cysteine rich DPF motif domain containing 1
ILMN_1726496	0.0219629	1.87e-03	3.4633281	-1.420826	0.32798421	350529336	SEL1L	SEL1L ERAD E3 ligase adaptor subunit
ILMN_2090029	0.0219629	1.87e-03	3.4633265	-1.42083	0.11744666	25453482	CDY2A	chromodomain Y-linked 2A
ILMN_1907766	0.0219691	1.87e-03	-3.4631191	-1.421319	-0.14106709	18991514		
ILMN_1846368	0.0219697	1.87e-03	3.4630129	-1.421569	0.14734047	11600079		
ILMN_1672954	0.0219786	1.87e-03	-3.4627589	-1.422167	-0.14164035	NA		
ILMN_1769752	0.0219872	1.87e-03	-3.4625081	-1.422758	-0.13818264	NA		
ILMN_1900810	0.0219934	1.87e-03	3.4622804	-1.423294	0.13019021	2397330		
