gene,logFC,p_value,adj_p_value
ZPR1,0.35760287,1.26e-08,5.46e-08
HCG8,0.7438582,1.35e-08,5.47e-08
HMGB2,-0.7597691,1.36e-08,5.51e-08
CDC42EP5,0.5758859,1.36e-08,5.52e-08
WDFY3,-0.8511477,1.37e-08,5.53e-08
COL26A1,0.5487755,1.37e-08,5.53e-08
RPS6KB2,0.565655,1.37e-08,5.53e-08
RPS3A,-0.6756136,1.37e-08,5.53e-08
SH3BP2,0.2659186,1.28e-08,5.54e-08
ZFYVE27,0.3839264,1.37e-08,5.55e-08
CD7,0.6302618,1.38e-08,5.6e-08
BOLA3,0.662265,1.38e-08,5.6e-08
PRKAB2,0.5590227,1.39e-08,5.62e-08
CFAP100,-0.478509,1.3e-08,5.64e-08
MEX3C,0.3612414,1.4e-08,5.65e-08
ITGBL1,-0.58827031,1.31e-08,5.69e-08
AFAP1,-0.29342934,1.32e-08,5.7e-08
CPT2,0.26319484,1.32e-08,5.71e-08
PLBD2,0.6868818,1.42e-08,5.73e-08
BCL2L2-PABPN1///BCL2L2,-0.5290895,1.42e-08,5.73e-08
PPP1R10,0.6140223,1.42e-08,5.74e-08
IRX2,0.6790418,1.42e-08,5.75e-08
MIF///MIF-AS1///MIF,1.1325945,1.43e-08,5.79e-08
SH2D2A,0.7381523,1.44e-08,5.82e-08
RPUSD4,-0.5092218,1.44e-08,5.82e-08
COPA,-0.7406645,1.45e-08,5.83e-08
PALB2,-0.6844595,1.45e-08,5.83e-08
GLI1,-1.593375,4.34e-10,5.83e-08
RASA4B///RASA4CP///POLR2J4///RASA4,0.672865,1.46e-08,5.88e-08
KCNG3,0.62766,1.46e-08,5.88e-08
KIF17,0.4884905,1.46e-08,5.89e-08
VPS25,0.9637191,1.46e-08,5.89e-08
OPHN1,0.37789417,1.37e-08,5.9e-08
LOC400464,0.4712264,1.46e-08,5.9e-08
ANKRD29,1.363415,1.47e-08,5.92e-08
HOXA-AS2,1.1087777,1.47e-08,5.92e-08
SCN1B,0.4806159,1.47e-08,5.92e-08
STYK1,-0.7284641,1.47e-08,5.94e-08
MAD2L2,0.5822768,1.48e-08,5.95e-08
GATC,0.4212982,1.48e-08,5.96e-08
