gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict,IVW_p_adj_50gene
PLXNA3,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
PLXNA3,Liver,GTEx,1,0.0372733765590091,0.4572677967038741,0.9177578274973504,,,58.78097648938919,Not Significant (IVW p>=0.05),0.8196188676954851
PLXNA3,Lung,GTEx,1,-0.2152040393816709,0.0433127731631994,0.5157773983701662,,,126.69945391018967,Single instrument - Unable to assess pleiotropy,0.39900231416806603
PLXNA3,Skin,GTEx,1,0.0137380454691115,0.9374722721443975,0.983344746747594,,,176.56038829082382,Not Significant (IVW p>=0.05),0.9814731351245495
PLXND1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
PLXND1,Liver,eQTLGen,1,0.49132866571295,0.14307766084737,0.7562254959505167,,,199.79539801,Not Significant (IVW p>=0.05),0.6601015903060482
PLXND1,Lung,eQTLGen,1,-0.290490831763704,0.540358040610052,0.9281919674912172,,,199.79539801,Not Significant (IVW p>=0.05),0.8324434679668369
PLXND1,Skin,eQTLGen,1,0.972931458629616,0.250794329350819,0.9160524304972164,,,199.79539801,Not Significant (IVW p>=0.05),0.8113695395443072
PRELP,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
PRELP,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
PRELP,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
PRELP,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SDC3,Kidney,eQTLGen,1,-0.187620625967367,0.404656761927286,0.9177578274973504,,,199.78126336,Not Significant (IVW p>=0.05),0.8196188676954851
SDC3,Liver,eQTLGen,1,-0.343467073525074,0.227841238628631,0.8987071079240445,,,199.78126336,Not Significant (IVW p>=0.05),0.8113695395443072
SDC3,Lung,eQTLGen,1,-0.34757221282124,0.387423732645626,0.9177578274973504,,,199.78126336,Not Significant (IVW p>=0.05),0.8196188676954851
SDC3,Skin,eQTLGen,1,0.98891579856549,0.167638602306292,0.7657871362011471,,,199.78126336,Not Significant (IVW p>=0.05),0.6825285951041888
SEMA7A,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SEMA7A,Liver,eQTLGen,1,-0.253042496767606,0.639033058773617,0.9518464441872756,,,51.10677121,Not Significant (IVW p>=0.05),0.9106221087524043
SEMA7A,Lung,eQTLGen,1,-0.950497464507288,0.213312069181146,0.8805722875725781,,,51.10677121,Not Significant (IVW p>=0.05),0.8105858628883549
SEMA7A,Skin,eQTLGen,1,0.57031239633993,0.674143649821934,0.96370870746357,,,51.10677121,Not Significant (IVW p>=0.05),0.9372240985329325
SERPINE1,Kidney,eQTLGen,1,-0.322289493653961,0.395325086245385,0.9177578274973504,,,87.23933604,Not Significant (IVW p>=0.05),0.8196188676954851
SERPINE1,Liver,eQTLGen,1,0.482078728787044,0.36719380798672,0.9177578274973504,,,87.23933604,Not Significant (IVW p>=0.05),0.8196188676954851
SERPINE1,Lung,eQTLGen,1,0.792714613514589,0.294482905458477,0.9177578274973504,,,87.23933604,Not Significant (IVW p>=0.05),0.8196188676954851
SERPINE1,Skin,eQTLGen,1,-3.32106052466551,0.0136083686517958,0.4303512948566115,,,87.23933604,Single instrument - Unable to assess pleiotropy,0.31027080526094425
SERPINF2,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SERPINF2,Liver,eQTLGen,1,0.121053555459901,0.153067341770052,0.7568270027611808,,,1785.83998464,Not Significant (IVW p>=0.05),0.6601015903060482
