,COL15A1,COL1A1,SERPINE2,SERPINF2,stage,label
GSM3998344,4.091409734351063,3.952323758346934,1.332966849918594,10.356063608835191,1,1
GSM3998345,3.075533864941463,4.97801716010029,1.84819827799294,10.682144506259974,0,0
GSM3998346,4.012157055595236,5.217107360703373,1.423153574884208,10.785349647214995,0,0
GSM3998347,4.211893002196737,6.453275553400594,1.3241835354336802,10.595116732055319,2,1
GSM3998348,4.2776419914238915,6.006957119631458,1.3489552401308915,10.545786863423976,2,1
GSM3998349,3.3272994386494603,4.562835092217688,1.5395079253142854,10.516155376461308,0,0
GSM3998350,4.116271395039541,6.473635108706488,1.8532327279326204,10.196849364844722,2,1
GSM3998351,4.643395614280079,6.514030341045367,1.2070529976223274,10.63000830035405,1,1
GSM3998352,3.769285028988658,5.170876347387296,1.4938208103539514,10.248784840437215,1,1
GSM3998353,3.857672606398085,4.82450711484666,1.21137509081964,10.65398509997385,0,0
GSM3998355,4.955768027046791,7.503448996178351,1.5355429533038731,10.223766630444342,2,1
GSM3998356,4.361172065661194,5.6361689914771365,1.4251770089920406,10.512318493241576,2,1
GSM3998357,4.417629454882144,6.035867482083234,1.8263804585103736,10.365546436959445,1,1
GSM3998358,4.95200752681383,5.299730765575589,1.914365965013534,10.033470234904554,1,1
GSM3998360,3.2890390716718323,6.205485582589599,0.5193547505457461,10.825335245217607,2,1
GSM3998361,3.2318344936602954,4.320422307616452,1.0305548032074041,10.687561888266204,0,0
GSM3998362,5.4123262671115056,8.536563399311877,2.11606271434781,10.201225398061757,2,1
GSM3998363,3.7927085581922677,5.6355358230708354,1.6377549935823175,10.566692525271382,1,1
GSM3998366,3.7751272079972336,4.785021311866722,1.0728202970147607,10.457837439490746,0,0
GSM3998367,4.64531493772911,6.871399616696385,1.2216830421602176,10.585609735007957,1,1
GSM3998368,3.7797494732137085,5.200784276244681,1.3092520922182347,10.454286659887085,2,1
GSM3998370,4.3839317938156315,4.939485306231883,1.3444014644551563,9.968089800381678,2,1
GSM3998371,4.397712454796642,5.73872199860728,2.4455283345672605,9.465591090941654,2,1
GSM3998375,4.73413731343458,4.754751765616926,1.612933094842614,10.036758825078575,1,1
GSM3998376,5.094514662072422,6.706750693742364,2.0125157643709617,9.57105918764653,2,1
GSM3998377,5.101620441961412,5.197079501427331,2.41321044154177,9.636212708691822,1,1
GSM3998380,4.819198591466478,5.069627225397394,1.959337541867405,9.93465964520491,1,1
GSM3998381,4.432617770186424,5.959316075811034,1.5264752499431036,10.152996884743718,2,1
