gene,tissue,logFC,adj_p_value
C7ORF31,Lungs,0.8171059,1.04e-09
C8ORF44,Lungs,0.767971,0.0276
C9ORF135,Lungs,-1.42271823,1.3e-12
C9ORF142,Lungs,0.9652805,1.48e-10
C9ORF172,Lungs,0.784765,1.6e-10
C9ORF24,Lungs,-0.80551634,6.79e-11
C9ORF78,Lungs,-0.5892038,0.00193
C9ORF84,Lungs,-0.6584586,0.000149
CACNA1S,Lungs,0.6324309,3.03e-08
CACNA2D1-AS1,Lungs,1.215952,0.00237
CACNG2-DT,Lungs,1.6407025,0.000278
CALM3,Lungs,-0.8627635,1.5e-05
CAMK2G,Lungs,0.5984218,2.45e-08
CAMSAP2,Lungs,-1.0981195,6.04e-10
CANT1,Lungs,0.8258427,4.08e-13
CAP1,Lungs,-0.7258591,8.78e-09
CAPN10-DT,Lungs,0.5877009,0.033
CAPN3,Lungs,0.6415125,0.000341
CAPNS2,Lungs,-0.6770927,4.42e-09
CAPS2,Lungs,-1.09901413,9.97e-17
CARD17P,Lungs,1.3146779,0.0149
CARMN,Lungs,-1.39420731,0.0257
CARMN///MIR145,Lungs,1.7444527,2.43e-08
CASC10,Lungs,-0.64628095,0.000334
CASP4LP,Lungs,-1.7028531,4.27e-06
CASP6,Lungs,-0.5992168,1.45e-07
CASR,Lungs,-1.3048792,0.036005
CATSPER2P1,Lungs,0.9423017,0.00634
CBR1-AS1,Lungs,-0.8482776,0.0231
CBR4,Lungs,-1.5254145,1.99e-16
CBSL///CBS,Lungs,1.18282164,1.2699999999999999e-52
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1,Lungs,-1.4275091,2.17e-16
CC2D1B,Lungs,0.6271695,1.28e-11
CCDC114,Lungs,-0.74301847,6.95e-11
CCDC130,Lungs,1.2060259,1.21e-18
CCDC144CP///CCDC144NL///CCDC144B///CCDC144A,Lungs,-2.0245855,5.55e-10
CCDC152,Lungs,-1.1398533,1.62e-06
CCDC159,Lungs,1.0131255,3.06e-14
CCDC167,Lungs,0.8246836,1.45e-09
CCDC178,Lungs,1.9386765,0.00341
