gene,logFC,p_value,adj_p_value
DLD,-2.2170695,2.7799999999999996e-23,6.28e-21
CSNK1A1,-2.0554764,2.81e-23,6.28e-21
GMPR,2.0609,2.7599999999999995e-23,6.28e-21
UBE2V2,-1.4027905,2.81e-23,6.28e-21
GOLGB1,-2.3350418,2.7899999999999997e-23,6.28e-21
NBEAL2,0.53048756,1.71e-22,6.290000000000001e-21
UBXN10,-1.30711061,1.73e-22,6.34e-21
TBCA,-2.0648505,2.86e-23,6.34e-21
IKZF2,-0.704058,1.74e-22,6.370000000000001e-21
SCN1A,1.13260766,1.76e-22,6.41e-21
HTATSF1,-2.2988095,2.8999999999999996e-23,6.41e-21
SMO,-0.4343507,1.76e-22,6.41e-21
INPP5K,0.62465969,1.9e-22,6.860000000000001e-21
SHE,0.63371285,1.92e-22,6.890000000000001e-21
