gene,tissue,logFC,adj_p_value
C6ORF223,Kidney,-1.5319156,0.00108
C6ORF25,Kidney,-0.8120673,0.0226
C6ORF47,Kidney,0.632,0.0324
C6ORF58,Kidney,-1.5484842,0.00125
C6ORF89,Kidney,0.8981406,0.0132
C7ORF34,Kidney,-1.4625206,0.000985
C7ORF43,Kidney,-0.6198408,0.00368
C7ORF62,Kidney,-1.3847161,0.00214
C7ORF69,Kidney,-1.3772677,0.0042
C7ORF73,Kidney,-0.5890028,0.0133
C8ORF17,Kidney,-1.4701281,0.000986
C8ORF33,Kidney,0.6661787,0.00411
C8ORF37,Kidney,-1.3746649,0.000845
C8ORF48,Kidney,-1.3408023,5.38e-05
C9ORF129,Kidney,-1.1881908,0.00741
C9ORF135-AS1,Kidney,-0.870613,0.0221
C9ORF43,Kidney,0.8575244,0.0172
C9ORF57,Kidney,-1.3043691,0.00402
CA10,Kidney,-1.45114451,0.000225
CABS1,Kidney,-1.5309307,0.00067
CACNG1,Kidney,-1.3594655,0.00283
CAHM,Kidney,-1.32,0.00816
CALB1,Kidney,-0.9999625,0.0143
CALCOCO2,Kidney,-0.7282395,0.00146
CALCR,Kidney,-0.714536,0.00433
CALM2,Kidney,-1.0660641,4e-05
CALML3,Kidney,-1.374002,0.00218
CAMK1G,Kidney,-0.5865117,0.02096717
CAMLG,Kidney,-1.644676,2.6e-12
CAMSAP1,Kidney,2.1388045,1.68e-06
CAND1.11///AMPD3,Kidney,-0.5898856,0.01081511
CAPN8,Kidney,2.0862945,0.000158
CARD14,Kidney,-1.5835474,0.00144
CARD17,Kidney,-0.6295529,0.0428
CARD18,Kidney,-1.6591284,0.001
CARD8,Kidney,-1.4295658,0.00164
CARF,Kidney,-0.9962134,0.000515
CARHSP1,Kidney,1.0282966,0.000519
CASC11,Kidney,-1.4487356,0.00252
CASC2,Kidney,2.4046313,6e-06
CASC23,Kidney,-1.3226501,0.00244
CASC7///AGO2,Kidney,-1.2188094,0.0266
CASC9,Kidney,-2.1807072,0.000296
CASP9,Kidney,-0.6768455,0.000948
CASTOR2,Kidney,0.7655158,0.00999
CATSPER4,Kidney,-1.0287519,0.043
CATX-1,Kidney,-1.5356316,0.0032
CBL,Kidney,-1.4279528,0.00104
CBLN1,Kidney,-1.535571,0.000664
CBR3-AS1,Kidney,-1.0577613,1.96e-05
CBWD5,Kidney,-0.6257404,0.00882
CBX3P2,Kidney,-1.1394559,0.00511
CBX5,Kidney,-0.8467635,0.00122
CBY3,Kidney,-1.5606115,0.00235
CCDC105,Kidney,-1.2775081,0.0144
CCDC127,Kidney,-1.0722125,2.22e-06
CCDC140,Kidney,-1.5789854,0.000778
CCDC142,Kidney,0.9272758,0.000228
CCDC144B,Kidney,1.5548918,0.0051
CCDC144BP,Kidney,-1.72,0.0251
CCDC148-AS1,Kidney,-0.899,0.000355
CCDC15,Kidney,-0.9690037,0.000264
CCDC158,Kidney,-1.5281396,0.00317
CCDC172,Kidney,-1.5131667,0.001
CCDC174,Kidney,-1.1545663,0.000159
CCDC189,Kidney,0.9363317,0.000241
CCDC26,Kidney,-1.2534814,0.00655
CCDC34,Kidney,-1.1020669,1.88e-05
CCDC36,Kidney,-1.4844264,0.00141
CCDC37-AS1,Kidney,-1.6361414,0.00188
CCDC43,Kidney,-1.2165173,2.33e-08
CCDC54,Kidney,-1.2094353,0.0187
CCDC63,Kidney,-1.4455164,0.00136
CCDC70,Kidney,-1.5573045,0.000951
CCDC73,Kidney,-0.9633951,0.0293
CCDC91,Kidney,-1.05820003,6.62e-07
CCDC96,Kidney,-0.9137887,0.000777
CCER1,Kidney,-1.4298088,0.00151
CCER2,Kidney,1.3355051,0.0051
CCNJ,Kidney,-1.0970676,1.2e-06
CCNYL1,Kidney,-0.8814432,0.000234
CCR3,Kidney,1.8565052,9.61e-05
CCR8,Kidney,-1.5007768,0.00376
CCSAP,Kidney,-0.8726927,0.000761
CCZ1B,Kidney,-0.6607518,0.00866
CCZ1B///CCZ1,Kidney,0.8263526,0.04912497
CD160,Kidney,-1.4240327,0.00176
CD2BP2,Kidney,1.3887134,0.00103
CD3EAP,Kidney,-0.7863823,0.000401
CD40,Kidney,0.8115271,0.00386
CD47,Kidney,1.7723398,0.00110052
CD9,Kidney,1.3034607,0.02551703
CDC20B,Kidney,-1.5509359,0.000701
CDC25B,Kidney,0.8615612,0.00101235
CDC25C,Kidney,-1.6344851,0.000748
CDC26,Kidney,-1.1631344,2.02e-05
CDC42,Kidney,-1.096628,8.93e-07
CDC42BPB,Kidney,0.759,0.00043
CDC42EP5,Kidney,-0.7496727,0.0143
CDCA8,Kidney,-1.2559623,3.39e-05
CDCP2,Kidney,-1.494223,0.00164
CDH20,Kidney,-1.2146679,0.0112
CDH4,Kidney,-1.4226126,0.00359
CDH9,Kidney,-2.14,0.000364
CDK11A,Kidney,0.6995791,0.00523
CDK12,Kidney,-0.7821269,0.000918
CDK13,Kidney,-0.7283479,0.000442
CDK17,Kidney,-1.2394638,0.000102
CDK6,Kidney,-0.9076616,0.0052
CDK8,Kidney,-0.9850016,7.86e-05
CDKN2AIP,Kidney,-0.9852428,0.000751
CDKN2C,Kidney,0.62321802,3.3e-05
CDRT15,Kidney,-1.100787,0.0236
CDX2,Kidney,1.2187587,0.003
CDYL,Kidney,-1.286012,2.14e-07
CEACAM5,Kidney,-1.595384,0.000889
CEACAM8,Kidney,-1.08122,0.023
CEBPA-AS1,Kidney,1.1699057,0.00402
CEBPZOS,Kidney,-0.9785401,0.000464
CECR6,Kidney,-0.8426709,0.0364
CELA3B,Kidney,7.0776287,1.05e-18
CELF3,Kidney,-0.5914167,0.00555142
CELF5,Kidney,-1.641548,0.0187
CELF6,Kidney,2.1134549,1.87e-05
CELP,Kidney,-0.6779016,0.00396075
CEND1,Kidney,-0.5927872,0.00155
CENPBD1P,Kidney,0.6142895,0.0232
CENPN,Kidney,-0.9442666,0.0077
CENPQ,Kidney,-0.9208565,6.6e-05
CENPVL2,Kidney,-1.3994454,0.00354
CEP104,Kidney,-1.1280745,8.72e-06
CEP164,Kidney,0.6996199,0.00167
CEP295NL,Kidney,-1.3480397,0.00241
CERS3,Kidney,-1.224111,0.00695
CES3,Kidney,1.4946802,0.00565
CES4A,Kidney,1.6988882,0.000194
CES5A,Kidney,-1.3722629,0.00159
CFAP210,Kidney,-0.9,0.0138
CFAP58-AS1,Kidney,-1.405125,0.00385
CFL1P1,Kidney,-0.6608709,0.00123
CFLAR,Kidney,0.86745,0.00318
CGRRF1,Kidney,0.7217426,0.00213
CHAC1,Kidney,-0.6484863,0.00983
CHAC2,Kidney,-0.9581942,4.57e-05
CHASERR,Kidney,-0.961,0.00396
CHCHD7,Kidney,-0.7303514,0.00681
CHD5,Kidney,-1.5625437,0.00175
CHGA,Kidney,0.96899642,0.0287
CHMP4B,Kidney,1.6823478,7.98e-06
CHMP5,Kidney,-0.6607609,0.00588
CHODL,Kidney,1.3067998,1.41e-06
CHORDC1P4,Kidney,-0.6490055,0.0281
CHP2,Kidney,2.7022034,0.0211
CHPF2,Kidney,-1.0761743,1.42e-06
CHRNA3,Kidney,-0.7792509,0.00135351
CHRNB2,Kidney,-0.6478967,0.0216
CHST14,Kidney,1.0819355,0.00601
CHST8,Kidney,-0.5946055,0.0073722
CHURC1,Kidney,-0.8897125,2.45e-06
CIDECP,Kidney,0.8581971,1.2e-06
CINP,Kidney,0.61373597,0.00123
CKMT2-AS1,Kidney,-0.8801499,0.0474
CLASRP,Kidney,1.2766938,8.7e-05
CLCA3P,Kidney,-1.0544224,0.0348
CLCN4,Kidney,-1.1373707,0.00344
CLCNKB,Kidney,-0.6342835,0.00242
CLDN12,Kidney,-1.9331069,8.96e-06
CLEC2L,Kidney,-1.7575112,0.00335
CLEC3A,Kidney,-1.3801266,0.00268
CLEC4A,Kidney,0.73625812,0.000198
CLIP1-AS1,Kidney,-1.4825896,0.00103
CLK2,Kidney,1.539742,7.71e-06
CLK3,Kidney,1.2103022,0.00103
CLP1,Kidney,-1.1045716,7.46e-06
CLSTN2-AS1,Kidney,-0.6301312,0.029
CLTRN,Kidney,-1.74,0.0441
CLVS1,Kidney,-1.6050905,0.00143
CMA1,Kidney,-1.2565002,0.0318
CNEP1R1,Kidney,-1.1185981,3.65e-06
CNIH4,Kidney,-0.6670175,0.00188
CNOT9,Kidney,-0.9332437,0.0159
CNTF,Kidney,-1.4952826,0.00298
CNTN2,Kidney,-1.6742214,0.00201
CNTN4-AS2,Kidney,-1.2,0.00105
COA3,Kidney,-0.7939392,0.000769
COBLL1,Kidney,-1.1508452,0.003
COL2A1,Kidney,-1.4302919,0.00121
