gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,matrisome_division
STMN2,-0.8154227,0.00285,-1.54270007,0.0004058,-0.5877525,0.00262,-1.71816409,3.7e-21,False,Non-ECM,Non-ECM
SVEP1,-1.653771,0.00079,-0.81211897,0.0462718,0.77483,0.000555,-1.4205033,0.000299,True,ECM Glycoproteins,Core matrisome
TAGLN,2.12357696,2.63e-09,-1.9208957,0.01097,-0.7302509,6.78e-05,-0.6293668,3.03e-08,False,Non-ECM,Non-ECM
THY1,-1.1892132,0.00456,-1.3833956,0.03973,-1.71080506,1.38e-30,-1.69448009,2.5000000000000002e-29,False,Non-ECM,Non-ECM
TSPAN8,1.2662383,0.00199,-1.58159211,0.0015202,-0.68302285,4.98e-05,0.68722888,1.78e-05,False,Non-ECM,Non-ECM
TXNDC5,-1.086722,4.39e-05,1.93554,3.55e-05,-0.8312425,0.000301,-0.58557672,3.71e-16,False,Non-ECM,Non-ECM
UBD,1.1838776,0.000421,-1.51826444,0.0173313,-0.84538503,1.4e-13,-1.38863339,2.73e-08,False,Non-ECM,Non-ECM
VWF,0.6088809,0.000127,-1.08837672,0.044949,0.80510831,2.46e-17,-0.97442246,2.94e-25,True,ECM Glycoproteins,Core matrisome
ZFP36L2,-1.3350787,7.71e-05,-1.2754987,0.02663,1.1287214,1.32e-12,-1.0218201,1.15e-05,False,Non-ECM,Non-ECM
ZNF254,-0.8323085,0.000763,0.777924,0.00195,-1.1391973,5.53e-10,-0.9476112,0.000117,False,Non-ECM,Non-ECM
ZNF654,-0.9042933,0.000439,-1.390213,0.00262,-1.2697005,5.2e-11,0.618359,0.00181,False,Non-ECM,Non-ECM
ZNF83,0.6775739,0.0137,-0.59624476,0.0015262,-1.8811427,1.09e-15,-0.7254141,0.000134,False,Non-ECM,Non-ECM
