source,gene,organ,n_snps_in_model,z_twas,pval_twas,fdr_twas
eQTLGen,COLEC11,Skin,197,2.7442178839654243,0.006065526458865378,0.011120131841253194
eQTLGen,SERPINF2,Lung,374,2.6034095532418897,0.009230161848803986,0.016747510158654656
eQTLGen,THBS1,Lung,960,-2.489185499553874,0.012803614224735416,0.02299424595462687
GTEx,CCL4,Lung,93,2.483996254841865,0.01299171743549854,0.023096386551997403
eQTLGen,GDF15,Kidney,70,2.402627823402554,0.0162777446100546,0.028648830513696096
eQTLGen,AEBP1,Kidney,245,2.3920667971279097,0.016753792940565004,0.02919472829246971
eQTLGen,LTBP2,Lung,676,2.3620656998026526,0.01817342116093479,0.03135806004239728
eQTLGen,SERPINE1,Liver,141,-2.3559167467236133,0.018477058236645805,0.03157244902572487
eQTLGen,VCAN,Kidney,90,-2.319294924770648,0.020379050437041135,0.03448762381653115
eQTLGen,F13A1,Skin,1065,2.2530511284877948,0.024255925400945344,0.040657551148251245
eQTLGen,TGFB3,Lung,466,2.0241019450624793,0.04295966353918401,0.07132925266883383
eQTLGen,PLXND1,Liver,423,1.9412051713456542,0.052233396121880826,0.08591661418178528
GTEx,LTBP4,Lung,18,-1.9196664514950068,0.05490004445386676,0.08946673911000509
eQTLGen,SEMA7A,Liver,70,1.8951164510304945,0.058076975635784844,0.09377566708163425
GTEx,COLEC11,Liver,4,1.858704943995637,0.06306897230731257,0.10091035569170011
GTEx,LTBP4,Skin,4,1.8250716413491541,0.0679902189985595,0.10780431120492318
eQTLGen,TGM2,Skin,165,-1.790532074240744,0.07336841575053432,0.11529322475083965
eQTLGen,PLXND1,Skin,423,-1.769119481944188,0.07687393737809978,0.11893738154456669
eQTLGen,SPP1,Kidney,528,1.7681311212273039,0.07703898577318524,0.11893738154456669
eQTLGen,TGM2,Kidney,65,1.7604923062854174,0.07832437085931865,0.11987034148904419
eQTLGen,FBN1,Liver,504,1.7236109657949752,0.08477809758529053,0.1283330585990828
eQTLGen,SERPINH1,Skin,449,-1.7206612198470252,0.085312317364163,0.1283330585990828
eQTLGen,LTBP4,Lung,579,-1.6799609919825083,0.09296490555305659,0.13865952014693186
GTEx,SPARCL1,Lung,4,-1.6142828478652846,0.10646608877722707,0.157402657459186
GTEx,COL3A1,Liver,2,1.6103567638066532,0.10731999372217227,0.157402657459186
eQTLGen,SDC3,Kidney,76,-1.5928198062022167,0.11120062058165137,0.1617463572096747
eQTLGen,SDC3,Skin,374,1.5754953407769594,0.11514215307371956,0.16610671263093968
GTEx,SEMA7A,Skin,24,1.4918656278185454,0.13573437506724573,0.19422154481166867
eQTLGen,PDGFD,Kidney,383,1.4263806003974298,0.15375851034866495,0.2168633351095329
eQTLGen,TNXB,Lung,884,-1.4254669918036293,0.15402225504938416,0.2168633351095329
