gene,tissue,logFC,adj_p_value
AURKC,Liver,-3.634917,1.34e-05
AVEN,Liver,1.169973,6.44e-06
AVP,Liver,-2.650936,0.000462
AZU1,Liver,-3.2935,1.77e-05
B4GALNT2,Liver,0.5989915,0.0129
B9D1,Liver,-1.523313,1.89e-05
BABAM1,Liver,1.93023,8.96e-12
BABAM2,Liver,1.174589,3.29e-05
BAGE,Liver,-1.083418,0.023
BAHCC1,Liver,1.195805,2.08e-05
BAIAP2L2,Liver,-1.906596,5.74e-05
BANP,Liver,1.006138,0.00543
BARHL1,Liver,-3.05386,0.000148
BBOX1,Liver,2.304958,2.25e-06
BBOX1-AS1,Liver,0.917,0.00115
BBS2,Liver,0.979567,0.0102
BCAN-AS1,Liver,-1.21,0.0034
BCAR4,Liver,-2.818786,3.77e-08
BCL2L12,Liver,-2.421426,0.000837
BCL2L13,Liver,0.677132,0.0413
BCL7A,Liver,-2.017084,0.000479
BCL7C,Liver,0.811323,0.000223
BCLAF3,Liver,0.911108,1.64e-05
BCRP2,Liver,-3.48603,6.08e-05
BCRP3,Liver,-0.5927732,5.77e-05
BEND7,Liver,-2.531284,1.46e-07
BEST2,Liver,-2.902482,0.000282
BEX2,Liver,-1.04787098,0.0018986
BEX4,Liver,-0.72,2.65e-06
BEX5,Liver,-0.594487,0.0243
BFAR,Liver,0.877003,0.00239
BHLHA15,Liver,-1.505354,0.0132
BHLHE23,Liver,-1.040685,0.027
BLMH,Liver,3.313178,7.71e-14
BLTP3B,Liver,2.500977,3.35e-08
BMERB1,Liver,1.701882,3.44e-09
BMP15,Liver,-2.917048,5.77e-09
BMP5,Liver,-0.59255796,0.0001819
BNC2,Liver,1.188158,5.06e-05
BNIP1,Liver,1.30514,1.25e-05
BNIP3L,Liver,2.048229,1.59e-07
BNIPL,Liver,1.021906,4.47e-05
BOD1,Liver,-1.195826,0.000917
BOLA1,Liver,0.680596,0.00903
BOLA2,Liver,1.09279,0.000453
BOP1,Liver,-1.218875,5.07e-07
BORCS8-MEF2B,Liver,1.574853,2.35e-08
BPNT2,Liver,1.726622,9.9e-08
BRAT1,Liver,-1.0793877,3.76e-06
BRD1,Liver,1.275925,2.75e-05
BRME1,Liver,1.406211,8.93e-08
BSN,Liver,-1.730165,0.000619
BSPH1,Liver,1.000583,3.43e-05
BSX,Liver,-1.196165,0.000883
BTBD16,Liver,-2.11231,1.85e-05
BTBD17,Liver,-0.727694,0.00271
BTF3L4,Liver,1.192982,1.67e-06
BUB1B,Liver,1.380898,3.4e-06
BYSL,Liver,-3.267695,3.24e-08
C10ORF120,Liver,0.844472,5.14e-05
C10ORF126,Liver,1.2163576,4.74e-05
C10ORF55,Liver,1.791227,2.83e-08
C11ORF21,Liver,-1.722698,0.00724
C11ORF42,Liver,-1.972381,3.26e-05
C12ORF54,Liver,-1.788419,7.49e-06
C12ORF60,Liver,0.87545,0.000299
C17ORF78,Liver,0.758962,0.00135
C18ORF32,Liver,1.701765,1.65e-05
C19ORF12,Liver,-2.012289,1.58e-06
C19ORF25,Liver,-0.9490458,6.96e-05
C19ORF48,Liver,-0.6961811,0.000183
C19ORF48P,Liver,-2.441728,9.3e-06
C19ORF73,Liver,-1.668688,3.57e-05
C1ORF106,Liver,-0.7585131,0.0240471
C1ORF146,Liver,0.786279,0.000752
C1ORF159,Liver,-0.8104651,0.00114
C1ORF216,Liver,-1.741713,5.54e-06
C1ORF35,Liver,-0.5864867,0.000365
C1ORF50,Liver,-1.258244,0.00703
C1QL4,Liver,-2.99964,0.000365
C1QTNF12,Liver,-1.540797,0.000635
C1QTNF4,Liver,-1.735039,0.0272
C1QTNF8,Liver,-3.39983,1.96e-08
C1QTNF9B,Liver,-3.182507,3.08e-06
C20ORF204,Liver,-1.40194,0.000239
C20ORF27,Liver,-0.7942657,0.000122
C22ORF15,Liver,-2.028541,1.84e-07
