gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
CTSZ,-0.85617934,6.89e-20,0.87819534,7.6e-05,1.420935,0.000334,-1.0109394,0.0001
CX3CR1,-0.75462091,1.42e-09,2.63143786,2.71e-08,0.808079,0.000142,1.2506814,1.52e-05
CXCL3,0.8908316,0.0318,0.62126687,0.0018,1.340044,3.9e-05,-2.9587018,1.39e-06
CXCL9,-3.66221403,2.4299999999999998e-23,1.7675739,0.04962269,2.72,9.27e-16,1.3432164,3.39e-05
CXCR4,-0.98699022,2.18e-13,2.1913363,0.00814289,4.4,1.1000000000000001e-29,-0.8565518,4.53e-05
CYBB,-1.3484662,4.88e-22,1.5594541,1.92e-07,-0.85,3.45e-06,-1.0912355,2.85e-08
CYP3A7,-1.5246944,0.0235,-1.10357721,0.000812,-2.27076228,0.0001936,2.2403525,5.54e-06
CYP4A11,1.46397491,8.240000000000001e-21,-1.41701048,1.89e-05,-2.397893,0.000165,-1.9027184,1.38e-05
CYP4B1,1.07602982,1.41e-13,1.7423249,0.000692,-3.85369,1.69e-05,1.07926,4.79e-05
CYR61,1.75,0.002477,2.3510655,3.28e-07,2.26,5.89e-12,0.62812262,7.21e-05
CYRIA,-0.59179228,3.5e-15,0.69594683,2.79e-05,1.293561,5.95e-07,-0.7671319,3.01e-05
CYTL1,-0.60109729,7.37e-07,0.60660068,0.000408,-1.654443,3.46e-05,-0.740645,0.0158
DAGLA,-1.3112055,0.0107,-0.6356504,0.0188,-1.51,1.34e-08,0.7628932,4.47e-10
DAO,-1.3589463,0.0241,-0.6312823,0.0416,2.009668,1.94e-07,0.7413545,1.6e-07
DAPK3,-1.81076,9.41e-06,0.843,0.0217,-1.03,1.94e-06,0.9033582,5.04e-13
DBR1,-0.6667408,0.000163,-0.9299548,0.00272,1.205305,1.13e-06,-0.8013627,4.05e-13
DCN,-0.8126547,1.34e-06,1.847616,0.01326669,2.1,5.7399999999999995e-30,-0.7994909,1.32e-08
DDA1,-1.382348,3.29e-05,1.23,0.00365,-0.876158,0.000431,0.7834255,1.42e-13
DDX3X,-0.8795068,0.00137,-0.776886,0.0104,3.168374,7.03e-12,-2.2177655,6.29e-20
DHCR7,-0.8543743,0.00384,-0.985378,0.000676,1.269387,0.00306,0.86942356,8.71e-16
DHX38,-0.5881514,0.00457,1.5245593,0.00192,1.259607,1.53e-06,-0.62551,1.08e-11
DIO2,-0.95537007,1.53e-08,-0.6235114,0.00321,-2.621167,7.35e-05,-1.29318638,4.96e-30
DNAH8,0.63908785,0.00913,-1.522525,0.000781,-1.031964,0.000146,1.5794614,0.000875
DOC2B,-0.64089482,4.4e-11,1.32,0.0466,-2.392966,3.22e-05,1.2948464,1.91e-14
DOCK2,-0.70275829,2.59e-13,1.45701592,3.17e-07,1.06,9.41e-14,-0.7252423,5.35e-05
DOK1,-0.68026619,2.17e-12,-0.7981041,0.0021,-1.03,2.95e-07,0.7678195,4.42e-11
DOK2,-0.75055613,1.27e-10,0.629041,3.02e-05,-1.07,5.48e-07,0.8270873,1.28e-06
DPEP1,-0.60979823,0.00517,-1.0391315,0.015,0.615479,0.00108,-2.5435275,0.011555
DPP4,-1.3243345,3.98e-05,-0.5877606,0.0294,0.866215,0.0136,-1.1371836,0.00113
DRAP1,-1.1151149,2.83e-05,-0.6928421,0.000584,0.587,1.25e-08,-0.8636507,0.000495
DTNB,-1.5475799,0.00338,1.1104471,0.00434,2.295523,0.000435,0.6192695,0.00608
DUOX1,-0.6047815,0.000164,1.3535053,0.00214,1.160683,7.23e-06,1.17806645,3.48e-24
DUSP1,-0.7249346,0.01,-1.9691702,2.51e-09,1.56,8.35e-12,0.82535854,3.54e-09
EFEMP1,-0.92062399,1.41e-32,0.9620293,0.02170639,3.73,8.800000000000001e-27,-0.8718927,0.000113
ELL2,-1.2210422,0.0183,-1.1164521,3.56e-08,2.374663,9.36e-10,-0.9611268,1.98e-05
EML4,-1.0606784,9e-05,-0.8985045,0.00114,0.719,1.09e-05,-0.6013075,0.00608
EMP3,-1.2672662,0.00011,1.19751633,1.79e-08,1.23,2.69e-13,1.6205327,9e-13
