gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig
MT1G,-1.16720705,0.00147,1.26153823,0.0204199,0.74154441,2.24e-08,0.7902255,0.000716,False,,-0.1816887,0.805,True,False,-0.611,0.0234,False,False,1.24634355,0.083,True,False,-0.31408817,0.9997,False,False,2,0
OAS1,1.27027007,0.00386,-0.683881,0.0027359,0.6916259,3.9e-05,-0.64406034,0.00117,False,,0.9521761,0.0687,True,False,-0.106,0.497,True,False,-0.78167866,0.142,False,False,-0.41938336,0.9997,True,False,3,0
OLFML3,1.6984416,0.000116,-0.67883102,0.0008032,0.9260436,2.26e-09,-1.1788003,3.9e-06,False,,0.2100844,0.648,True,False,-0.507,7.38e-05,True,True,-0.25334733,0.57,False,False,0.047845,0.9997,False,False,2,1
PDE1A,1.02516096,0.00278,-0.58879525,0.0227027,-0.68857936,1.05e-13,-1.27251132,9.69e-27,False,,-0.0123935,0.989,False,False,-0.278,0.0336,True,True,-1.06708202,0.0556,True,False,-0.41511567,0.9997,True,False,3,1
PDGFD,-0.8901066,0.0146,-1.05559167,0.002057,-1.3643127,4.45e-07,-0.8761549,2.33e-05,False,,0.4660018,0.299,False,False,-0.743,0.000269,True,True,-0.31272521,0.57,True,False,-0.29211008,0.9997,True,False,3,1
RAC2,1.43200873,1.78e-06,-0.66384802,0.0087597,1.0923759,3.68e-10,-0.67340593,5.99e-11,False,,0.7286721,0.388,True,False,-0.989,1.46e-08,True,True,-0.19446866,0.431,False,False,-0.02873631,0.9997,True,False,3,1
RNASE1,-1.5686847,0.000765,-1.14762315,0.0016162,0.8163227,2.08e-09,-0.73231377,1.46e-09,False,,0.9651427,0.00766,False,False,-1.36,4.37e-07,True,True,0.04012112,0.766,True,False,-0.54312669,0.9997,True,False,3,1
RNASE6,1.69936691,0.000131,-0.65969719,0.0005728,-0.6375855,4.05e-06,-0.79572185,1.04e-15,False,,1.0232056,0.23,True,False,-0.882,6.17e-06,True,True,0.41237872,0.294,False,False,-0.20378367,0.9997,True,False,3,1
SERPINE2,1.0038187,0.000792,-0.66736081,0.0425783,-1.3449823,2.74e-08,-1.9706074,1.45e-32,False,,0.6324469,0.126,True,False,-0.581,3.78e-05,True,True,-1.00937433,0.00904,True,True,-0.54628758,0.9997,True,False,4,2
SERPINF2,2.7390396,0.000802,1.3225455,0.043,0.63997202,3.11e-20,-0.59567572,1.22e-08,False,,0.250206,0.791,True,False,-0.0299,0.871,False,False,0.64970315,0.0372,True,True,-0.14770458,0.9997,True,False,3,1
SERPINH1,0.94882229,5.44e-06,-0.79163778,0.0016122,0.7277705,7.93e-06,-0.73761569,1.02e-15,False,,0.3376166,0.298,True,False,-0.779,4.91e-06,True,True,-0.38577644,0.233,False,False,-0.09278772,0.9997,True,False,3,1
SORT1,-0.5957617,0.0239,-0.9347933,0.0094411,0.66340185,7.06e-22,-0.6307995,0.000171,False,,0.2455063,0.339,False,False,-0.533,0.0432,True,True,0.66156506,0.134,True,False,-0.04870183,0.9997,True,False,3,1
SPARCL1,1.41812269,0.0054,-0.88501875,0.0246792,-1.7856164,7.63e-14,-0.60177431,3.08e-18,False,,-0.3916166,0.591,False,False,-0.2,0.438,True,False,0.7388645,0.00478,False,False,-0.77797097,0.9997,True,False,2,0
SRC,0.7519966,0.0011,-0.8850278,0.03815,0.5851355,3.47e-12,-1.2616061,0.000525,False,,0.1474196,0.798,True,False,-0.935,2.88e-08,True,True,-0.37872978,0.064,False,False,-0.05038681,0.9997,True,False,3,1
STAT1,-1.7880455,0.000102,-0.80761934,0.0015262,-1.0810745,3.29e-07,-0.75356189,1.16e-07,False,,0.5375743,0.334,False,False,-0.187,0.0733,True,False,-0.64967029,0.031,True,True,-0.22651669,0.9997,True,False,3,1
STMN2,-0.8154227,0.00285,-1.54270007,0.0004058,-0.5877525,0.00262,-1.71816409,3.7e-21,False,,0.0390974,0.944,False,False,-3.24,2e-11,True,True,-0.1603376,0.0913,True,False,-1.17883453,0.9982,True,False,3,1
SVEP1,-1.653771,0.00079,-0.81211897,0.0462718,0.77483,0.000555,-1.4205033,0.000299,False,,0.1049664,0.886,False,False,-0.603,0.000564,True,True,0.9548602,0.00144,True,True,-0.30362864,0.9997,True,False,3,2
THY1,-1.1892132,0.00456,-1.3833956,0.03973,-1.71080506,1.38e-30,-1.69448009,2.5000000000000002e-29,False,,0.1960033,0.787,False,False,-1.59,6.87e-10,True,True,-1.62885478,0.000403,True,True,-0.92505464,0.9997,True,False,3,2
TSPAN8,1.2662383,0.00199,-1.58159211,0.0015202,-0.68302285,4.98e-05,0.68722888,1.78e-05,False,,0.5906058,0.475,True,False,-0.222,0.476,True,False,-1.34428258,0.0152,True,True,0.07709342,0.9997,True,False,4,1
UBD,1.1838776,0.000421,-1.51826444,0.0173313,-0.84538503,1.4e-13,-1.38863339,2.73e-08,False,,1.0465609,0.0568,True,False,-1.9,1.99e-13,True,True,,,,,0.24516978,0.9997,False,False,2,1
VWF,0.6088809,0.000127,-1.08837672,0.044949,0.80510831,2.46e-17,-0.97442246,2.94e-25,False,,0.4639446,0.599,True,False,-1.6,3.64e-08,True,True,0.72140694,0.00716,True,True,-0.45297386,0.9997,True,False,4,2
ZFP36L2,-1.3350787,7.71e-05,-1.2754987,0.02663,1.1287214,1.32e-12,-1.0218201,1.15e-05,False,,0.2590895,0.587,False,False,-0.322,0.00923,True,True,-0.75125488,0.211,False,False,-0.06346956,0.9997,True,False,2,1
ZNF83,0.6775739,0.0137,-0.59624476,0.0015262,-1.8811427,1.09e-15,-0.7254141,0.000134,False,,-0.5692842,0.109,False,False,-0.538,0.000468,True,True,-0.50582373,0.0808,True,False,-0.03372503,0.9997,True,False,3,1
