gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict
FGFBP2,Lung,eQTLGen,1,-0.12265872308993,0.331868120807763,0.9177578274973505,,,2020.65533289,Not Significant (IVW p>=0.05)
FGFBP2,Skin,eQTLGen,1,0.296842353672771,0.188639804312562,0.8370891316369938,,,2020.65533289,Not Significant (IVW p>=0.05)
FMOD,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FMOD,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FMOD,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FMOD,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FSTL1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FSTL1,Liver,eQTLGen,1,0.0268474918682476,0.8070195541422,0.9802739815331081,,,966.58188201,Not Significant (IVW p>=0.05)
FSTL1,Lung,eQTLGen,1,-0.0862531059806448,0.579048956556361,0.9421441841255442,,,966.58188201,Not Significant (IVW p>=0.05)
FSTL1,Skin,eQTLGen,1,0.249653669728653,0.3670448720864,0.9177578274973505,,,966.58188201,Not Significant (IVW p>=0.05)
GDF15,Kidney,eQTLGen,1,0.232664604129218,0.102768216190316,0.7296543349512435,,,430.03975876,Not Significant (IVW p>=0.05)
GDF15,Liver,eQTLGen,1,0.200192881233571,0.250765460429236,0.9160524304972164,,,430.03975876,Not Significant (IVW p>=0.05)
GDF15,Lung,eQTLGen,1,-0.179903777222522,0.464827198363251,0.9177578274973505,,,430.03975876,Not Significant (IVW p>=0.05)
GDF15,Skin,eQTLGen,1,0.454021708497756,0.301300103039419,0.9177578274973505,,,430.03975876,Not Significant (IVW p>=0.05)
IGF1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IGF1,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IGF1,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IGF1,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IGFBP5,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IGFBP5,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IGFBP5,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IGFBP5,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IL1A,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IL1A,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IL1A,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
IL1A,Skin,GTEx,1,0.0828099385245901,0.5239883618062672,0.9281919674912172,,,111.74893581257668,Not Significant (IVW p>=0.05)
LAMC3,Kidney,eQTLGen,1,-0.022290306392037,0.703945415151674,0.9736387884890036,,,1424.93415289,Not Significant (IVW p>=0.05)
LAMC3,Liver,eQTLGen,1,0.0604896346198785,0.474516186560544,0.9177578274973505,,,1424.93415289,Not Significant (IVW p>=0.05)
LAMC3,Lung,eQTLGen,1,-0.0392450173382328,0.742648442433721,0.9801320586038292,,,1424.93415289,Not Significant (IVW p>=0.05)
LAMC3,Skin,eQTLGen,1,-0.205458357291557,0.335101425518805,0.9177578274973505,,,1424.93415289,Not Significant (IVW p>=0.05)
LEFTY2,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LEFTY2,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LEFTY2,Lung,GTEx,1,-0.9186415795751532,0.1636415681505076,0.7657871362011471,,,52.02376370634596,Not Significant (IVW p>=0.05)
LEFTY2,Lung,GTEx,1,0.2932558463045672,0.0325193030439641,0.5157773983701662,,,52.02376370634596,Single instrument - Unable to assess pleiotropy
LEFTY2,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LEP,Kidney,eQTLGen,1,0.124500916292016,0.679972980698277,0.9655616325915535,,,87.04143616,Not Significant (IVW p>=0.05)
LEP,Liver,eQTLGen,1,0.564417358499776,0.168976504232178,0.7657871362011471,,,87.04143616,Not Significant (IVW p>=0.05)
LEP,Lung,eQTLGen,1,0.641690927211688,0.270244164868231,0.9177578274973505,,,87.04143616,Not Significant (IVW p>=0.05)
LEP,Skin,eQTLGen,1,0.126406912137796,0.902599482675992,0.983344746747594,,,87.04143616,Not Significant (IVW p>=0.05)
LTB,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LTB,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LTB,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LTB,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
LTBP2,Kidney,eQTLGen,1,-0.293707935970646,0.0455002638963584,0.5157773983701662,,,275.53676049,Single instrument - Unable to assess pleiotropy
LTBP2,Liver,eQTLGen,1,-0.467394081959794,0.027779438091232,0.5157773983701662,,,275.53676049,Single instrument - Unable to assess pleiotropy
