"gene","organ","n_instruments","IVW_beta","IVW_p","Egger_beta","Egger_p","WeightedMedian_beta","WeightedMedian_p","Egger_intercept_p","Cochran_Q_p","F_statistic","verdict"
"CTSE","Skin",1,0.364322842726023,0.343256675608797,NA,NA,NA,NA,NA,NA,110.37183364,"Not Significant (IVW p>=0.05)"
"CTSS","Liver",1,0.00510599430121008,0.955644894726535,NA,NA,NA,NA,NA,NA,1514.42392336,"Not Significant (IVW p>=0.05)"
"CTSS","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CTSS","Lung",1,-0.323746456223511,0.0128705671559159,NA,NA,NA,NA,NA,NA,1514.42392336,"Pass (Single instrument - Clean Wald Ratio)"
"CTSS","Skin",1,-0.0434023736564081,0.85112230649095,NA,NA,NA,NA,NA,NA,1514.42392336,"Not Significant (IVW p>=0.05)"
"CTSZ","Liver",1,-0.0425432857692003,0.781251062450262,NA,NA,NA,NA,NA,NA,639.69032241,"Not Significant (IVW p>=0.05)"
"CTSZ","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CTSZ","Lung",1,-0.201802824345681,0.353123615410285,NA,NA,NA,NA,NA,NA,639.69032241,"Not Significant (IVW p>=0.05)"
"CTSZ","Skin",1,0.923013856318583,0.0167912567705435,NA,NA,NA,NA,NA,NA,639.69032241,"Pass (Single instrument - Clean Wald Ratio)"
"CXCL3","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CXCL3","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CXCL3","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CXCL3","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CXCL9","Liver",1,-0.0644395605411092,0.854890050327824,NA,NA,NA,NA,NA,NA,198.88050625,"Not Significant (IVW p>=0.05)"
"CXCL9","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
