gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
RGCC,-1.1123707,0.00419,-1.56,8.84e-07,1.05597234,6.960000000000001e-21,-0.60801287,1.35e-09,False,
RGS1,3.6619782,1.69e-05,-2.65,4.85e-10,-1.3353814,6.51e-06,-0.6381429,0.002,False,
RNASE1,-1.5686847,0.000765,-1.36,4.37e-07,0.8163227,2.08e-09,-0.73231377,1.46e-09,False,
RNASE6,1.69936691,0.000131,-0.882,6.17e-06,-0.6375855,4.05e-06,-0.79572185,1.04e-15,False,
RNF126,-0.7262374,0.0041,-0.717,0.000715,1.1598418,3.03e-14,-1.1351071,1.05e-05,False,
ROBO4,-0.6814201,0.00167,-0.659,0.000509,0.73041358,3.98e-13,-0.73154399,1.11e-11,False,
RUNX1,1.49,0.00403,-0.648,6.39e-07,-1.0281375,2.07e-10,-1.00050376,3.3400000000000003e-22,False,
SAA1,3.9084205,4.16e-05,-1.19,0.00125,0.59353849,2.52e-05,-2.40489092,1.43e-13,False,
SAA2,2.1527218,0.000349,-1.23,0.00166,-2.2770886,6.24e-05,-2.02702146,8.99e-09,False,
SAMSN1,0.7454767,0.0123,-1.18,1.31e-08,-1.207255,2.81e-06,-0.88047928,9.9e-11,False,
SASH3,-0.8471291,0.000231,-0.957,2e-11,0.6036623,7.68e-08,-0.9589265,1.57e-16,False,
SCARF2,-1.1837521,5.83e-07,-1.33,4.45e-06,0.9095859,4.55e-13,-0.92811582,1.99e-09,False,
SDC3,1.93,7.01e-05,-0.739,0.000312,1.1137945,1.33e-13,-0.84848048,4.82e-16,True,ECM-affiliated Proteins
SECTM1,-2.1731031,2.54e-05,-1.07,2.01e-05,1.5044705,3.74e-14,-0.61807253,4.89e-07,False,
SEMA7A,1.49,0.00033,-1.14,2.47e-05,0.7084395,7.85e-07,-1.4722485,0.04,True,ECM-affiliated Proteins
SERPINE1,-1.5665503,0.00223,-1.52,2.43e-05,1.05529982,3.15e-06,-3.42970049,4.41e-38,True,ECM Regulators
SERPINF2,2.7390396,0.000802,1.3225455,0.043,0.63997202,3.11e-20,-0.59567572,1.22e-08,True,ECM Regulators
SERPINH1,0.94882229,5.44e-06,-0.779,4.91e-06,0.7277705,7.93e-06,-0.73761569,1.02e-15,True,ECM Regulators
SFRP4,0.78663094,0.00323,-1.52,0.000155,-1.42136303,3.15e-19,-4.73806111,1.08e-74,True,Secreted Factors
SH2D3C,-1.2340142,0.00797,-0.979,1.16e-07,1.8527873,1.5e-17,-0.76134635,6.53e-16,False,
SHARPIN,0.848801,0.0287,-0.719,0.000466,0.7490573,4.18e-10,-1.0503913,0.0019,False,
SIGLEC9,1.39,0.0103,-0.786,9.41e-09,0.64950286,3.75e-14,-1.14703805,8.7e-15,False,
SIPA1L3,-1.0903787,0.000703,-0.596,1.84e-05,1.2941668,9.47e-17,-0.6939843,8.49e-06,False,
SLC11A1,-0.6144145,0.00954,-0.746,0.000533,1.10728537,2.7500000000000003e-21,-0.83976014,7.92e-06,False,
SLC15A3,1.26,0.000361,-0.716,2.61e-05,0.7284527,1.36e-05,-0.77954717,9.15e-14,False,
SLC1A3,-1.2401386,0.0112,-1.41,5.35e-11,-1.5909318,3.42e-11,-1.04662845,1.15e-38,False,
SLCO4C1,-1.0514967,0.0025,0.721,1.29e-05,1.31083376,6.27e-14,-1.7116801,0.0206,False,
SOCS3,-1.8006761,0.000592,-2.39,8.67e-09,0.70154823,1.91e-06,-1.41106255,4.17e-16,False,
SOD3,-0.9383911,0.00363,-1.84,5.93e-06,1.1088709,1.16e-12,-0.8855633,8.38e-06,False,
SORT1,-0.5957617,0.0239,-0.9347933,0.0094411,0.66340185,7.06e-22,-0.6307995,0.000171,False,
SPARCL1,1.41812269,0.0054,-0.88501875,0.0246792,-1.7856164,7.63e-14,-0.60177431,3.08e-18,True,ECM Glycoproteins
SPP1,-1.5815458,0.00152,-2.23,1.61e-10,-3.9608964,1.92e-11,-3.11337489,4.25e-15,True,ECM Glycoproteins
SPX,-1.2507441,3.66e-06,0.589,1e-06,0.8360955,1.56e-07,-1.5782488,0.0025,False,
SRC,0.7519966,0.0011,-0.935,2.88e-08,0.5851355,3.47e-12,-1.2616061,0.000525,False,
STAT1,-1.7880455,0.000102,-0.80761934,0.0015262,-1.0810745,3.29e-07,-0.75356189,1.16e-07,False,
STMN2,-0.8154227,0.00285,-3.24,2e-11,-0.5877525,0.00262,-1.71816409,3.7e-21,False,
STRN4,1.11,0.000409,-0.587,0.000161,1.0880627,3.5e-15,-0.5992691,7.55e-05,False,
SVEP1,-1.653771,0.00079,-0.603,0.000564,0.77483,0.000555,-1.4205033,0.000299,True,ECM Glycoproteins
TAGLN2,1.06,0.00655,-0.915,1.43e-06,0.8371177,2.74e-08,-0.9349774,0.00215,False,
TGFB3,-1.5824395,0.00102,-0.859,1.98e-06,-1.01667604,3.72e-21,-1.04914499,1.4000000000000002e-21,True,Secreted Factors
TGM2,-1.438884,0.000114,-0.96,0.000134,1.3318364,7.98e-13,-2.41498901,2.2e-25,True,ECM Regulators
THBS1,0.8024248,0.00287,-1.83,3.86e-09,1.16263442,7.21e-13,-2.45515344,9.01e-30,True,ECM Glycoproteins
THY1,-1.1892132,0.00456,-1.59,6.87e-10,-1.71080506,1.3799999999999999e-30,-1.69448009,2.5000000000000002e-29,False,
TIMP1,0.94847442,5.67e-05,-1.95,1.84e-10,-0.780185,0.0418,-1.01400282,4.27e-15,True,ECM Regulators
TMEM200A,0.809,0.0492,-1.49,1.28e-06,-0.83668,0.000809,-0.61569894,1.16e-12,False,
TMEM259,2.3582889,4.91e-05,-0.662,0.00107,1.0351573,1.21e-12,-3.1662065,2.04e-05,False,
TNFRSF12A,-1.44412,2.26e-05,-3.68,2.6e-14,1.7289145,1.1e-10,-0.75607171,2.85e-07,False,
TNFRSF1B,1.27405175,2.24e-06,-0.837,2.7e-07,0.9285105,1.76e-10,-0.76753364,6.44e-17,False,
TNFRSF21,-0.7112826,9.77e-05,-0.853,4.25e-09,-0.72223197,2.02e-20,-0.61979715,2.31e-13,False,
TNXB,-0.7803367,0.00117,-1.05,5.06e-07,-0.6254475,0.000365,0.9660813,0.00927,True,ECM Glycoproteins
TPPP3,-0.9576591,2.48e-07,-1.18,4.48e-05,-1.42149474,1.3099999999999999e-30,-0.982496,0.00362,False,
TREM1,-1.2044559,0.043,-1.17,0.000719,1.205315,8.26e-06,-0.79366649,0.000406,False,
