gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs,ensembl_id,eqtl_dataset_id
SEMA3E,Matrisome-associated,ECM-affiliated Proteins,-0.904209,0.00247,-1.4696809,0.00379,-1.252744,1.19e-05,-1.9523073,0.000935,ENSG00000170381,eqtl-a-ENSG00000170381
SEMA6A,Matrisome-associated,ECM-affiliated Proteins,-1.6958419,0.00586,-0.8886993,0.0009484,-0.999784,0.0253,-1.6325365,2.66e-25,ENSG00000092421,eqtl-a-ENSG00000092421
SEMA7A,Matrisome-associated,ECM-affiliated Proteins,-1.4722485,0.04,1.49,0.00033,-1.14,2.47e-05,0.7084395,7.85e-07,ENSG00000138623,eqtl-a-ENSG00000138623
SERPINE1,Matrisome-associated,ECM Regulators,-3.42970049,4.41e-38,-0.97152753,0.000633,1.66,9.79e-06,-3.5822256,1.49e-06,ENSG00000106366,eqtl-a-ENSG00000106366
SERPINE2,Matrisome-associated,ECM Regulators,-1.9706074,1.45e-32,1.0038187,0.000792,1.38,7.46e-08,-1.3449823,2.74e-08,ENSG00000135919,eqtl-a-ENSG00000135919
SERPINF2,Matrisome-associated,ECM Regulators,-0.59567572,1.22e-08,2.7390396,0.000802,-0.941,2.4e-08,0.63997202,3.11e-20,ENSG00000167711,eqtl-a-ENSG00000167711
SERPINH1,Matrisome-associated,ECM Regulators,-0.73761569,1.02e-15,0.94882229,5.44e-06,1.465287,3.37e-06,0.7277705,7.93e-06,ENSG00000149257,eqtl-a-ENSG00000149257
SFRP4,Matrisome-associated,Secreted Factors,-4.73806111,1.08e-74,0.78663094,0.00323,0.934905,1.28e-05,-1.42136303,3.15e-19,ENSG00000106483,eqtl-a-ENSG00000106483
SPARCL1,Core matrisome,ECM Glycoproteins,-0.60177431,3.08e-18,1.41812269,0.0054,2.47,2.87e-17,-1.7856164,7.63e-14,ENSG00000152583,eqtl-a-ENSG00000152583
SPP1,Core matrisome,ECM Glycoproteins,-3.11337489,4.25e-15,-1.5815458,0.00152,2.55,9.06e-12,-3.9608964,1.92e-11,ENSG00000118785,eqtl-a-ENSG00000118785
SRPX,Core matrisome,ECM Glycoproteins,-1.01576367,7.15e-24,1.2589273,0.00981441,1.52,7.02e-13,0.72868256,1.31e-13,ENSG00000101955,eqtl-a-ENSG00000101955
