gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig,n_organs_found_in_val
GJA5,0.978,0.00111,-0.9177183,0.00146,0.6335336,0.00562,-1.5525562,6.24e-20,False,,0.1865669,0.772,True,False,-0.9177183,0.00146,True,True,-0.89089598,0.199,False,False,-0.20418589,0.9997,True,False,3,1,4
GLIS2,1.03,0.000708,-1.1938026,1.58e-07,0.7355264,6.08e-11,-0.81001225,5.36e-08,False,,0.9301711,0.000808,True,True,-1.1938026,1.58e-07,True,True,0.34333482,0.146,True,False,-0.19264808,0.9997,True,False,4,2,4
GPR4,1.91,1.66e-06,-0.6799518,0.000995,1.18569767,3.46e-26,-1.07927336,4e-12,False,,0.413955,0.385,True,False,-0.6799518,0.000995,True,True,1.4517414,0.000223,True,True,-0.25357322,0.9997,True,False,4,2,4
GZMA,1.94342639,6.14e-08,-0.676719,8.18e-05,0.87682,4.3e-05,-1.5315411,2.64e-12,False,,1.6367763,0.0325,True,True,-0.676719,8.18e-05,True,True,-1.13899448,0.0358,False,False,0.36887608,0.9997,False,False,2,2,4
GZMH,0.76971507,0.000864,-0.7834142,0.000261,0.7092845,3.56e-07,-1.16875464,3.98e-07,False,,0.8859223,0.1,True,False,-0.7834142,0.000261,True,True,-0.51040415,0.26,False,False,-0.05950911,0.9997,True,False,3,1,4
GZMK,1.59463905,4.47e-06,-0.8086997,3.73e-05,-0.78549422,1.19e-07,-1.61032198,4.92e-12,False,,0.7922693,0.463,True,False,-0.8086997,3.73e-05,True,True,-1.22906063,0.007,True,True,0.08427811,0.9997,False,False,3,2,4
HBA2,2.9062137,1.15e-06,-2.3907114,1.2e-09,-1.326445,0.0373,0.94620137,0.00621,False,,2.9062137,1.15e-06,True,True,-2.3907114,1.2e-09,True,True,,,,,-0.44662186,0.9997,False,False,2,2,3
HBB,3.6413911,1.51e-08,-1.376283,4.3e-06,2.3823018,4.36e-06,1.07045724,0.00311,False,,3.6413911,1.51e-08,True,True,-1.376283,4.3e-06,True,True,-0.6667025,0.242,False,False,-0.49942344,0.9997,False,False,2,2,4
HCK,1.77563723,2.61e-06,-0.8922231,2.02e-07,0.59490073,3.89e-08,-0.82657298,1.6e-14,False,,0.7149719,0.0555,True,False,-0.8922231,2.02e-07,True,True,-0.08149558,0.907,False,False,-0.04189467,0.9997,True,False,3,1,4
HCLS1,1.1488022,4.22e-05,-0.7476783,2.74e-10,0.7483149,8.57e-18,-0.78830078,2.23e-17,False,,0.5171616,0.548,True,False,-0.7476783,2.74e-10,True,True,0.51560201,0.115,True,False,0.08129519,0.9997,False,False,3,1,4
HDAC7,1.06,0.00142,-0.7521225,8.27e-08,0.8662077,2.03e-16,-0.6370295,0.00232,False,,0.3061373,0.485,True,False,-0.7521225,8.27e-08,True,True,0.05139399,0.735,True,False,-0.12372678,0.9997,True,False,4,1,4
HLA-DMA,0.62704507,0.00107,-0.7958664,3.45e-07,1.6573577,2.14e-14,-0.66956515,7.73e-11,False,,1.0409747,0.0195,True,True,-0.7958664,3.45e-07,True,True,-0.82306391,0.00338,False,False,0.17259183,0.9997,False,False,2,2,4
HLA-DMB,0.90310336,4.2e-05,-0.9656268,1.98e-08,0.6591555,1.08e-05,-0.69818661,1.56e-10,False,,1.2089966,0.0231,True,True,-0.9656268,1.98e-08,True,True,-0.65797822,0.0287,False,False,0.03100697,0.9997,False,False,2,2,4
HLA-DPA1,0.66929765,0.000447,-1.0093179,1.62e-07,0.8431909,1.26e-10,-0.6557647,3.25e-07,False,,0.7056355,0.299,True,False,-1.0093179,1.62e-07,True,True,-0.90689705,0.00729,False,False,0.22940819,0.9997,False,False,2,1,4
HS3ST2,0.64850567,0.0124,-1.2305094,5.78e-05,-1.9559329,0.005876,-0.6992861,0.00157,False,,0.0715588,0.933,True,False,-1.2305094,5.78e-05,True,True,-0.40566352,0.383,True,False,-0.19569853,0.9997,True,False,4,1,4
HSPB6,1.33,0.0203,-1.1759346,1.18e-05,1.1857723,1.74e-08,-0.93117698,3.43e-05,False,,1.2668446,0.0449,True,True,-1.1759346,1.18e-05,True,True,-0.71843479,0.238,False,False,-0.63888039,0.9997,True,False,3,2,4
ICAM1,1.27,0.0028,-0.8305269,0.000102,1.6422855,1.34e-08,-0.88508485,8.48e-16,False,,0.5453894,0.305,True,False,-0.8305269,0.000102,True,True,0.45026382,0.355,True,False,0.07752553,0.9997,False,False,3,1,4
IFITM1,0.77549777,0.00327,-0.6449931,0.0027,1.9680064,1.09e-11,-0.72637156,4.9e-09,False,,1.0424759,0.102,True,False,-0.6449931,0.0027,True,True,-0.34027889,0.412,False,False,-0.16409267,0.9997,True,False,3,1,4
IFITM2,0.896607,0.00462,-0.670485,0.0022,0.8450005,4.18e-08,-0.59047873,1.41e-12,False,,0.9904001,0.0258,True,True,-0.670485,0.0022,True,True,0.39684967,0.104,True,False,-0.38431908,0.9997,True,False,4,2,4
IGF1,-1.67020229,0.00024,0.624215,0.00119,-1.9659032,1.39e-11,-1.46347599,1.9700000000000002e-33,True,Secreted Factors,0.2340478,0.801,False,False,0.624215,0.00119,True,True,-1.21704013,0.0486,True,True,-0.21331461,0.9997,True,False,3,2,4
IGHM,1.4485453,0.00856,-0.9262856,0.00414,-1.3059125,1.85e-06,-4.97355453,6.25e-32,False,,1.9361088,0.164,True,False,-0.9262856,0.00414,True,True,-1.31321225,0.118,True,False,,,,,3,1,3
IGKC,2.2697963,0.00859,-1.0006846,0.000255,-1.18760196,1.3e-17,-3.00104428,4.28e-13,False,,1.6051528,0.321,True,False,-1.0006846,0.000255,True,True,-1.12850131,0.0504,True,False,,,,,3,1,3
IGSF3,0.6140758,0.0491,-0.8848813,1.3e-05,0.7797305,1.14e-10,0.6123282,3.27e-05,False,,0.6140758,0.0491,True,True,-0.8848813,1.3e-05,True,True,0.21589415,0.157,True,False,-0.12851247,0.9997,False,False,3,2,4
IL32,1.05169189,9.67e-05,-1.5338479,4.7e-11,2.0251741,2.66e-16,-0.85490311,1.06e-09,False,,1.1101331,0.0787,True,False,-1.5338479,4.7e-11,True,True,-0.84764245,0.0871,False,False,0.444512,0.9997,False,False,2,1,4
INMT,1.55,0.000723,-0.9219375,1.28e-05,1.4261375,1.43e-06,-0.88509554,7.2e-16,False,,1.3046187,0.0354,True,True,-0.9219375,1.28e-05,True,True,0.9717123,0.0502,True,False,-0.90061367,0.2093,True,False,4,2,4
ISLR,1.03459811,0.000824,-1.0900875,4.41e-07,1.32894,8.3e-10,-1.3685904,5.55e-05,False,,0.2362215,0.652,True,False,-1.0900875,4.41e-07,True,True,-1.06088042,0.0248,False,False,0.35421175,0.9997,False,False,2,1,4
ITGB4,0.6613426,0.0344,-0.957251,0.000311,-0.88878708,2.13e-17,-1.1008732,2.09e-05,False,,0.6613426,0.0344,True,True,-0.957251,0.000311,True,True,-1.13817791,0.00914,True,True,-0.29931297,0.9997,True,False,4,3,4
JAK3,0.676,0.0241,-0.9126649,1.12e-07,-0.8322825,0.00382,-1.44575376,1.1099999999999999e-23,False,,0.0492517,0.925,True,False,-0.9126649,1.12e-07,True,True,0.43123825,0.266,False,False,0.10755792,0.9997,False,False,2,1,4
JCHAIN,1.66909789,0.0202,-1.40032795,0.0065752,-1.34238042,7.8e-19,-2.45752384,4.43e-11,False,,0.5505616,0.781,True,False,-0.4923433,0.0669,True,False,-0.88600005,0.175,True,False,0.0831715,0.9997,False,False,3,0,4
KRT7,1.71869423,0.0011,-1.2294714,2.21e-06,0.985805,2.61e-06,-0.7478173,0.0397,False,,0.5436651,0.357,True,False,-1.2294714,2.21e-06,True,True,-0.56243077,0.0759,False,False,-0.61782811,0.9997,True,False,3,1,4
LAMC3,0.62190975,0.000713,-1.8243098,2.6e-11,0.73075977,9.65e-16,0.68068461,5.98e-08,True,ECM Glycoproteins,0.3490477,0.328,True,False,-1.8243098,2.6e-11,True,True,0.0780412,0.622,True,False,-0.16155286,0.9997,False,False,3,1,4
LCN2,1.0420901,0.00746,-0.9750636,0.00277,-0.86473163,2.42e-07,-1.0299168,0.00872,False,,1.9468512,0.137,True,False,-0.9750636,0.00277,True,True,-1.35787365,0.127,True,False,-0.29652761,0.9997,True,False,4,1,4
