ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1702568	0.9997	0.90451562	-0.120657	-5.075	-0.01452794	343488516	MVB12B	multivesicular body subunit 12B
ILMN_1653821	0.9997	0.9045837	-0.1205706	-5.075	-0.01409292	1017029569	ADRA1A	adrenoceptor alpha 1A
ILMN_2169839	0.9997	0.90460195	-0.1205474	-5.075	-0.03793147	187608720	CNBP	CCHC-type zinc finger nucleic acid binding protein
ILMN_1797359	0.9997	0.90466697	0.1204648	-5.075	0.01794006	NA		
ILMN_1674497	0.9997	0.90466812	-0.1204634	-5.075	-0.01339756	NA		
ILMN_2190414	0.9997	0.90467336	-0.1204567	-5.075	-0.03372503	157738650	ZNF83	zinc finger protein 83
ILMN_1730999	0.9997	0.90467441	0.1204554	-5.075	0.02336175	114155141	TPR	translocated promoter region, nuclear basket protein
ILMN_1744455	0.9997	0.90468215	0.1204456	-5.075	0.01812281	194394138	NOTUM	NOTUM, palmitoleoyl-protein carboxylesterase
ILMN_1745737	0.9997	0.90468848	-0.1204375	-5.075	-0.02377908	148596939	DIS3L2	DIS3 like 3'-5' exoribonuclease 2
ILMN_1710195	0.9997	0.90470372	-0.1204182	-5.075	-0.01565014	NA		
ILMN_1888949	0.9997	0.90477983	-0.1203215	-5.075	-0.01701969	82443170		
ILMN_1751241	0.9997	0.90480175	-0.1202937	-5.075	-0.01089911	207113156	TCOF1	treacle ribosome biogenesis factor 1
ILMN_3238048	0.9997	0.90481103	-0.1202819	-5.075	-0.020044	NA		
ILMN_1806828	0.9997	0.90482133	0.1202688	-5.075	0.02115261	1044635705	MRI1	methylthioribose-1-phosphate isomerase 1
ILMN_1726164	0.9997	0.90483098	-0.1202566	-5.075	-0.01633003	215422373	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
ILMN_1690085	0.9997	0.90484958	-0.1202329	-5.075	-0.01886317	806638627	STK11IP	serine/threonine kinase 11 interacting protein
ILMN_1787794	0.9997	0.90488627	0.1201864	-5.075	0.01491647	51558692	BMF	Bcl2 modifying factor
ILMN_1764795	0.9997	0.90489294	-0.1201779	-5.075	-0.01460556	160707880	FMN2	formin 2
ILMN_1794473	0.9997	0.90491441	-0.1201506	-5.075	-0.01779497	566006162	JADE1	jade family PHD finger 1
ILMN_1681845	0.9997	0.90493717	-0.1201217	-5.075	-0.02608139	167555094	PAPD4	poly(A) RNA polymerase D4, non-canonical
ILMN_1750693	0.9997	0.90497202	0.1200775	-5.075	0.02486464	635172854	SSR1	signal sequence receptor subunit 1
ILMN_3181296	0.9997	0.90497605	0.1200723	-5.075	0.02229181	NA		
ILMN_1663592	0.9997	0.90497748	0.1200705	-5.075	0.01518308	NA		
ILMN_1691570	0.9997	0.90498629	-0.1200593	-5.075	-0.04322981	645065979	METTL5	methyltransferase like 5
ILMN_1814122	0.9997	0.9050245	-0.1200108	-5.075	-0.01911239	132626687	MDC1	mediator of DNA damage checkpoint 1
ILMN_1656530	0.9997	0.90506234	0.1199628	-5.075	0.01302817	NA		
ILMN_1828245	0.9997	0.90514878	-0.119853	-5.075	-0.01646722	6025198		
ILMN_3223798	0.9997	0.90516987	-0.1198262	-5.075	-0.01758308	584593188	ZNF84	zinc finger protein 84
ILMN_1774228	0.9997	0.90519639	0.1197926	-5.075	0.01704614	NA		
ILMN_1730796	0.9997	0.90520852	0.1197772	-5.075	0.01456228	189491772	NPHP1	nephrocystin 1
ILMN_2182750	0.9997	0.90522408	0.1197574	-5.075	0.02580214	379317168	DDX1	DEAD/H-box helicase 1
