Gene ID	Gene Symbol	
5971	RELB	
51067	YARS2	
23198	PSME4	
25873	RPL36	
9332	CD163	
9688	NUP93	
4066	LYL1	
11177	BAZ1A	
1359	CPA3	
1001	CDH3	
29980	DONSON	
57716	PRX	
6238	RRBP1	
7126	TNFAIP1	
1284	COL4A2	
1462	VCAN	
9023	CH25H	
81831	NETO2	
5912	RAP2B	
5728	PTEN	
6999	TDO2	
29113	C6orf15	
283298	OLFML1	
10319	LAMC3	
9276	COPB2	
25855	BRMS1	
9920	KBTBD11	
23378	RRP8	
28511	NKIRAS2	
51690	LSM7	
11232	POLG2	
4013	VWA5A	
51001	MTERF3	
11230	PRAF2	
3596	IL13	
9457	FHL5	
8030	CCDC6	
6252	RTN1	
8976	WASL	
10785	WDR4	
10609	P3H4	
6472	SHMT2	
5111	PCNA	
8325	FZD8	
1476	CSTB	
2124	EVI2B	
55024	BANK1	
28680	TRAV8-6	
79663	HSPBAP1	
4689	NCF4	
4356	MPP3	
1788	DNMT3A	
7922	SLC39A7	
5603	MAPK13	
8572	PDLIM4	
3643	INSR	
629	CFB	
54541	DDIT4	
4046	LSP1	
11117	EMILIN1	
9168	TMSB10	
24137	KIF4A	
10320	IKZF1	
5341	PLEK	
1281	COL3A1	
5058	PAK1	
3305	HSPA1L	
5701	PSMC2	
57099	AVEN	
23189	KANK1	
1798	DPAGT1	
25926	NOL11	
79413	ZBED2	
21	ABCA3	
54432	YIPF1	
8552	INE1	
11313	LYPLA2	
55785	FGD6	
1551	CYP3A7	
1263	PLK3	
3671	ISLR	
3099	HK2	
1789	DNMT3B	
3956	LGALS1	
6249	CLIP1	
53844	COPG2IT1	
157567	ANKRD46	
9244	CRLF1	
631	BFSP1	
79230	ZNF557	
55364	IMPACT	
1466	CSRP2	
57523	NYNRIN	
23302	WSCD1	
7174	TPP2	
79703	TOP6BL	
7832	BTG2	
5328	PLAU	
2999	GZMH	
27113	BBC3	
64175	P3H1	
655	BMP7	
6327	SCN2B	
51133	KCTD3	
79902	NUP85	
8908	GYG2	
11015	KDELR3	
27128	CYTH4	
79572	ATP13A3	
8772	FADD	
10195	ALG3	
25966	C2CD2	
9133	CCNB2	
55055	ZWILCH	
1036	CDO1	
5350	PLN	
5105	PCK1	
97	ACYP1	
1294	COL7A1	
4214	MAP3K1	
9180	OSMR	
3608	ILF2	
23742	NPAP1	
79745	CLIP4	
27010	TPK1	
9334	B4GALT5	
25939	SAMHD1	
57130	ATP13A1	
51491	NOP16	
8560	DEGS1	
4174	MCM5	
1478	CSTF2	
4668	NAGA	
80185	TTI2	
83480	PUS3	
1192	CLIC1	
10385	BTN2A2	
7371	UCK2	
55068	ENOX1	
54868	SLC38A12	
1282	COL4A1	
90362	FAM110B	
3594	IL12RB1	
10197	PSME3	
4222	MEOX1	
54619	CCNJ	
63935	PCIF1	
64061	TSPYL2	
8972	MGAM	
1543	CYP1A1	
2168	FABP1	
27330	RPS6KA6	
196	AHR	
80196	RNF34	
55799	CACNA2D3	
3269	HRH1	
151050	KANSL1L	
6863	TAC1	
84722	PSRC1	
416	ARSF	
1962	EHHADH	
5551	PRF1	
81035	COLEC12	
2697	GJA1	
55224	ETNK2	
79630	C1orf54	
5479	PPIB	
7272	TTK	
101927910	-	
3654	IRAK1	
4927	NUP88	
1676	DFFA	
55578	SUPT20H	
8502	PKP4	
79714	CCDC51	
51428	DDX41	
54433	GAR1	
6748	SSR4	
8484	GALR3	
5029	P2RY2	
3108	HLA-DMA	
7347	UCHL3	
558	AXL	
4128	MAOA	
