ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
56905_at	6.40e-06	9.17e-08	7.2845352	7.94474	0.54556073	chromosome 15 open reading frame 39
2760_at	6.51e-06	9.39e-08	7.2748025	7.92125	0.37369541	GM2 ganglioside activator
3142_at	6.51e-06	9.44e-08	7.2725932	7.91592	1.39285614	H2.0 like homeobox
7805_at	6.53e-06	9.52e-08	7.2690785	7.90743	1.55462068	lysosomal protein transmembrane 5
23166_at	6.67e-06	9.77e-08	7.2584694	7.88181	0.66467923	stabilin 1
5499_at	6.86e-06	1.02e-07	7.2424388	7.84306	0.96104255	protein phosphatase 1 catalytic subunit alpha
55366_at	6.86e-06	1.02e-07	-7.2407676	7.83902	-0.53514398	leucine rich repeat containing G protein-coupled receptor 4
10123_at	6.86e-06	1.02e-07	7.2397884	7.83665	1.69583582	ADP ribosylation factor like GTPase 4C
56892_at	7.18e-06	1.08e-07	7.2193079	7.78709	1.34248677	chromosome 8 open reading frame 4
56938_at	7.19e-06	1.08e-07	7.2166492	7.78065	0.47211787	aryl hydrocarbon receptor nuclear translocator like 2
1513_at	7.35e-06	1.12e-07	7.2048828	7.75215	0.99559135	cathepsin K
55914_at	7.35e-06	1.12e-07	-7.2032492	7.74819	-0.75671935	erbb2 interacting protein
11000_at	7.44e-06	1.14e-07	7.19616	7.73101	0.90187937	solute carrier family 27 member 3
1445_at	8.03e-06	1.24e-07	7.1611866	7.64615	0.57887381	c-src tyrosine kinase
8445_at	8.03e-06	1.24e-07	7.1608548	7.64534	0.85948378	dual specificity tyrosine phosphorylation regulated kinase 2
60673_at	8.11e-06	1.26e-07	7.1542858	7.62939	1.01286611	autophagy related 101
23176_at	8.13e-06	1.27e-07	7.1511972	7.62188	0.49493124	septin 8
5577_at	8.23e-06	1.29e-07	-7.1443799	7.60531	-1.13928387	protein kinase cAMP-dependent type II regulatory subunit beta
11326_at	8.29e-06	1.31e-07	7.139256	7.59286	1.69633573	V-set and immunoglobulin domain containing 4
10513_at	8.67e-06	1.38e-07	-7.1191822	7.54403	-0.59440781	amyloid beta precursor protein binding protein 2
23625_at	8.67e-06	1.39e-07	7.1167839	7.53819	0.57813869	family with sequence similarity 89 member B
10560_at	8.85e-06	1.42e-07	-7.1063002	7.51267	-0.9937086	solute carrier family 19 member 2
432_at	8.86e-06	1.43e-07	7.1040015	7.50707	0.56902741	asialoglycoprotein receptor 1
3635_at	8.90e-06	1.44e-07	7.1002071	7.49782	0.54531558	inositol polyphosphate-5-phosphatase D
5947_at	8.90e-06	1.45e-07	7.0979057	7.49222	0.82554508	retinol binding protein 1
309_at	9.04e-06	1.49e-07	7.0885562	7.46943	0.76083616	annexin A6
10493_at	9.04e-06	1.49e-07	7.0878548	7.46772	0.4487022	vesicle amine transport 1
5918_at	9.32e-06	1.54e-07	7.0735135	7.43275	1.52616776	retinoic acid receptor responder 1
837_at	9.53e-06	1.59e-07	7.062211	7.40517	0.69631888	caspase 4
2200_at	9.93e-06	1.66e-07	7.0438859	7.36042	0.98766503	fibrillin 1
5777_at	1.00e-05	1.70e-07	7.0354982	7.33992	0.88615316	protein tyrosine phosphatase, non-receptor type 6
55151_at	1.00e-05	1.70e-07	-7.0353408	7.33954	-0.84060067	transmembrane protein 38B
4313_at	1.02e-05	1.73e-07	7.0272124	7.31967	1.37818446	matrix metallopeptidase 2
6775_at	1.04e-05	1.78e-07	7.0170896	7.29491	1.09813429	signal transducer and activator of transcription 4
3182_at	1.06e-05	1.81e-07	7.0089087	7.27489	0.51158673	heterogeneous nuclear ribonucleoprotein A/B
