ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
210532_s_at	5.07e-01	3.17e-01	-1.0217416	-5.922121	-0.14003955	C14orf2	chromosome 14 open reading frame 2
200988_s_at	5.07e-01	3.17e-01	-1.0216946	-5.922167	-0.11662173	PSME3	proteasome activator subunit 3
237305_at	5.07e-01	3.17e-01	-1.0216421	-5.92222	-0.16357694		
1569680_at	5.07e-01	3.17e-01	1.0216389	-5.922223	0.13508606		
219278_at	5.07e-01	3.17e-01	1.0216029	-5.922259	0.2356746	MAP3K6	mitogen-activated protein kinase kinase kinase 6
1569321_at	5.07e-01	3.17e-01	1.0215484	-5.922313	0.12566683		
200847_s_at	5.07e-01	3.17e-01	-1.0215265	-5.922334	-0.10835046	SARAF	store-operated calcium entry associated regulatory factor
224215_s_at	5.07e-01	3.17e-01	-1.0215213	-5.92234	-0.24383422	DLL1	delta like canonical Notch ligand 1
204332_s_at	5.07e-01	3.17e-01	-1.0215141	-5.922347	-0.16034176	AGA	aspartylglucosaminidase
1556422_at	5.08e-01	3.17e-01	1.0213299	-5.92253	0.11428056		
1555536_at	5.08e-01	3.17e-01	1.0211061	-5.922752	0.16135364	ANTXR2	anthrax toxin receptor 2
1559023_a_at	5.08e-01	3.17e-01	1.0210744	-5.922783	0.09200339	EFCAB14	EF-hand calcium binding domain 14
1555708_a_at	5.08e-01	3.17e-01	1.0209859	-5.922871	0.08997911	OFCC1	orofacial cleft 1 candidate 1
45633_at	5.08e-01	3.17e-01	-1.0209233	-5.922933	-0.14543808	GINS3	GINS complex subunit 3
235537_at	5.08e-01	3.17e-01	-1.0209121	-5.922944	-0.11110834	OCIAD1	OCIA domain containing 1
1568749_at	5.08e-01	3.17e-01	1.020908	-5.922949	0.08472793	LOC105374928	uncharacterized LOC105374928
239549_at	5.08e-01	3.17e-01	1.0209077	-5.922949	0.17156536		
229868_s_at	5.08e-01	3.17e-01	-1.0208426	-5.923013	-0.12084702	GDF15	growth differentiation factor 15
226085_at	5.08e-01	3.18e-01	-1.0208063	-5.923049	-0.23023977	CBX5	chromobox 5
201622_at	5.08e-01	3.18e-01	-1.0206071	-5.923247	-0.09173274	SND1	staphylococcal nuclease and tudor domain containing 1
1564315_at	5.08e-01	3.18e-01	1.0205686	-5.923285	0.07664192	C8orf49	chromosome 8 open reading frame 49
1556558_s_at	5.08e-01	3.18e-01	-1.0205383	-5.923316	-0.12090198	ENTPD3-AS1	ENTPD3 antisense RNA 1
1564471_at	5.08e-01	3.18e-01	1.0203321	-5.92352	0.09563201	LOC100130815	uncharacterized LOC100130815
225151_at	5.08e-01	3.18e-01	1.0203306	-5.923522	0.09771011	RTKN	rhotekin
237981_at	5.08e-01	3.18e-01	1.0203089	-5.923543	0.10952693	CMYA5	cardiomyopathy associated 5
238567_at	5.08e-01	3.18e-01	1.0202832	-5.923569	0.33412285	SGPP2	sphingosine-1-phosphate phosphatase 2
1568899_at	5.08e-01	3.18e-01	1.0202196	-5.923632	0.09312344	LOC101929511	uncharacterized LOC101929511
1559705_s_at	5.08e-01	3.18e-01	-1.0201989	-5.923652	-0.09302533	PHKA2	phosphorylase kinase regulatory subunit alpha 2
1560565_at	5.08e-01	3.18e-01	1.0199549	-5.923894	0.13155859	LINC01333	long intergenic non-protein coding RNA 1333
243015_at	5.08e-01	3.18e-01	1.0198923	-5.923956	0.0769254	CYP3A5	cytochrome P450 family 3 subfamily A member 5
230490_x_at	5.08e-01	3.18e-01	-1.0198066	-5.924041	-0.14574684	RSU1	Ras suppressor protein 1
244223_at	5.08e-01	3.18e-01	1.0197057	-5.924141	0.06843056		
1568900_a_at	5.08e-01	3.18e-01	-1.0196179	-5.924229	-0.12527478	ZNF568	zinc finger protein 568
1555916_at	5.08e-01	3.18e-01	1.0196059	-5.92424	0.09959725	RPUSD3	RNA pseudouridylate synthase domain containing 3
225634_at	5.09e-01	3.18e-01	1.0195616	-5.924284	0.11727932	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
1561229_at	5.09e-01	3.18e-01	1.0195044	-5.924341	0.0762643	LINC00397	long intergenic non-protein coding RNA 397
228894_at	5.09e-01	3.18e-01	1.0194713	-5.924374	0.1221902	NR6A1	nuclear receptor subfamily 6 group A member 1
209650_s_at	5.09e-01	3.18e-01	-1.0194519	-5.924393	-0.10373176	TBC1D22A	TBC1 domain family member 22A
236995_x_at	5.09e-01	3.18e-01	-1.0194447	-5.9244	-0.20207524	TFEC	transcription factor EC
233717_x_at	5.09e-01	3.18e-01	1.0193888	-5.924456	0.06351335		
215847_at	5.09e-01	3.18e-01	1.0192086	-5.924634	0.30401161	LOC101930458///HERC2P3	uncharacterized LOC101930458///hect domain and RLD 2 pseudogene 3
204848_x_at	5.09e-01	3.18e-01	-1.019188	-5.924655	-0.32172455	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
1565874_at	5.09e-01	3.18e-01	1.0191577	-5.924685	0.08070749		
1563783_a_at	5.09e-01	3.18e-01	1.0191212	-5.924721	0.07306207	ZNF333	zinc finger protein 333
204783_at	5.09e-01	3.18e-01	-1.0191198	-5.924722	-0.36229056	MLF1	myeloid leukemia factor 1
213782_s_at	5.09e-01	3.18e-01	1.0190999	-5.924742	0.17341939	MYOZ2	myozenin 2
214316_x_at	5.09e-01	3.18e-01	1.0190526	-5.924789	0.14192918		
238350_at	5.09e-01	3.18e-01	-1.0188741	-5.924966	-0.18146035	UBN2	ubinuclein 2
1568921_at	5.09e-01	3.18e-01	1.0188653	-5.924974	0.09903694	LOC101930286///LOC101930149	uncharacterized LOC101930286///uncharacterized LOC101930149
1563472_at	5.09e-01	3.18e-01	1.0188539	-5.924986	0.08621841		
231121_at	5.09e-01	3.18e-01	1.0188385	-5.925001	0.13161917	HPS3	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1
224122_at	5.09e-01	3.18e-01	1.0188252	-5.925014	0.07655194		
1563312_at	5.09e-01	3.18e-01	1.0187872	-5.925052	0.06927888		
1563109_at	5.09e-01	3.18e-01	-1.01875	-5.925089	-0.08882605		
205748_s_at	5.09e-01	3.18e-01	1.0187116	-5.925127	0.15094444	RNF126	ring finger protein 126
201661_s_at	5.09e-01	3.18e-01	-1.0186714	-5.925167	-0.17057392	ACSL3	acyl-CoA synthetase long-chain family member 3
244182_at	5.09e-01	3.19e-01	1.01865	-5.925188	0.08982824	LOC101929536	uncharacterized LOC101929536
207692_s_at	5.09e-01	3.19e-01	-1.0186292	-5.925208	-0.09670542	ACAN	aggrecan
235932_x_at	5.09e-01	3.19e-01	-1.0185349	-5.925302	-0.13629749	HMCN2	hemicentin 2
217989_at	5.09e-01	3.19e-01	-1.0185299	-5.925307	-0.13064443	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11
207042_at	5.09e-01	3.19e-01	1.0184835	-5.925353	0.0997408	E2F2	E2F transcription factor 2
214635_at	5.09e-01	3.19e-01	1.0184121	-5.925423	0.09568887	CLDN9	claudin 9
1552892_at	5.09e-01	3.19e-01	1.0183902	-5.925445	0.12397471	TNFRSF13C	TNF receptor superfamily member 13C
205517_at	5.09e-01	3.19e-01	1.0183166	-5.925518	0.07561978	GATA4	GATA binding protein 4
206066_s_at	5.09e-01	3.19e-01	-1.0183129	-5.925522	-0.12164102	RAD51C	RAD51 paralog C
203174_s_at	5.09e-01	3.19e-01	-1.0182301	-5.925604	-0.0997556	ARFRP1	ADP ribosylation factor related protein 1
234669_x_at	5.09e-01	3.19e-01	1.018219	-5.925615	0.09137919	EMSY	EMSY, BRCA2 interacting transcriptional repressor
216178_x_at	5.09e-01	3.19e-01	1.0181067	-5.925726	0.08749042	ITGB1	integrin subunit beta 1
214148_at	5.09e-01	3.19e-01	-1.0180919	-5.925741	-0.12329875	LOC100507424///ITFG2	uncharacterized LOC100507424///integrin alpha FG-GAP repeat containing 2
228625_at	5.09e-01	3.19e-01	1.0180425	-5.925789	0.1677516	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4
241719_at	5.09e-01	3.19e-01	1.0179565	-5.925875	0.11899108		
219439_at	5.09e-01	3.19e-01	1.0179137	-5.925917	0.11091807	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
217810_x_at	5.09e-01	3.19e-01	-1.0178798	-5.925951	-0.08796121	LARS	leucyl-tRNA synthetase
211706_s_at	5.09e-01	3.19e-01	1.0178631	-5.925967	0.08524031	CDK19	cyclin dependent kinase 19
1570054_at	5.09e-01	3.19e-01	1.0178605	-5.92597	0.08805251		
