ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
11340_at	3.70e-02	1.29e-02	2.629215	-3.427018	0.1539919	11340_at
4585_at	3.70e-02	1.29e-02	-2.629181	-3.427094	-1.0167894	4585_at
80177_at	3.70e-02	1.29e-02	-2.629147	-3.427168	-0.4971247	80177_at
3685_at	3.70e-02	1.29e-02	2.628965	-3.427566	0.2262538	3685_at
23641_at	3.71e-02	1.30e-02	2.627585	-3.430584	0.1952501	23641_at
9261_at	3.71e-02	1.30e-02	-2.627539	-3.430685	-0.3241256	9261_at
9722_at	3.71e-02	1.30e-02	-2.627406	-3.430975	-0.6924663	9722_at
AFFX-LysX-5_at	3.72e-02	1.30e-02	-2.62677	-3.432364	-0.2672558	AFFX-LysX-5_at
8483_at	3.73e-02	1.30e-02	-2.62581	-3.434462	-0.7505962	8483_at
92104_at	3.73e-02	1.31e-02	-2.62559	-3.434944	-0.3254888	92104_at
100507424_at	3.73e-02	1.31e-02	-2.625433	-3.435286	-0.604125	100507424_at
11179_at	3.73e-02	1.31e-02	-2.624668	-3.436958	-0.1932167	11179_at
55731_at	3.74e-02	1.31e-02	-2.623565	-3.439368	-0.1645284	55731_at
54932_at	3.74e-02	1.31e-02	-2.623498	-3.439513	-0.5087779	54932_at
9200_at	3.75e-02	1.31e-02	2.622992	-3.440619	0.3131778	9200_at
10867_at	3.75e-02	1.31e-02	-2.622855	-3.440917	-0.2523973	10867_at
27347_at	3.75e-02	1.31e-02	-2.622539	-3.441608	-0.4472665	27347_at
10240_at	3.75e-02	1.32e-02	-2.622444	-3.441815	-0.1703595	10240_at
2353_at	3.75e-02	1.32e-02	2.622095	-3.442576	1.0259325	2353_at
114_at	3.75e-02	1.32e-02	-2.622091	-3.442586	-1.3928262	114_at
55862_at	3.76e-02	1.32e-02	-2.621063	-3.44483	-0.385057	55862_at
23397_at	3.76e-02	1.32e-02	2.620732	-3.445552	0.9397539	23397_at
