GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
1850	2.63e-12	3.79e-15	0.3923	-7.86	-3.08	23.92	DUSP8	dual specificity phosphatase 8
23452	2.82e-12	4.20e-15	0.1123	-7.85	-8.82e-01	320.96	ANGPTL2	angiopoietin like 2
80319	3.58e-12	5.49e-15	0.1075	7.82	8.40e-01	182.52	CXXC4	CXXC finger protein 4
22808	5.59e-12	8.83e-15	0.1316	-7.76	-1.02	158.8	MRAS	muscle RAS oncogene homolog
3059	7.91e-12	1.29e-14	0.1035	-7.71	-7.98e-01	441.63	HCLS1	hematopoietic cell-specific Lyn substrate 1
6282	1.01e-11	1.74e-14	0.203	-7.67	-1.56	168.38	S100A11	S100 calcium binding protein A11
3958	1.01e-11	1.73e-14	0.2146	-7.67	-1.65	190.06	LGALS3	galectin 3
4023	1.25e-11	2.21e-14	0.3083	-7.64	-2.35	62.39	LPL	lipoprotein lipase
1289	1.31e-11	2.37e-14	0.1754	-7.63	-1.34	491.8	COL5A1	collagen type V alpha 1 chain
650669	1.45e-11	2.68e-14	0.1846	-7.61	-1.41	44.17	GAS6-AS1	GAS6 antisense RNA 1
5329	1.98e-11	3.75e-14	0.2591	-7.57	-1.96	52.83	PLAUR	plasminogen activator, urokinase receptor
11075	2.00e-11	3.97e-14	0.4287	-7.56	-3.24	44.05	STMN2	stathmin 2
54440	2.00e-11	3.90e-14	0.1266	-7.56	-9.57e-01	133.9	SASH3	SAM and SH3 domain containing 3
64098	2.48e-11	5.03e-14	0.1047	-7.53	-7.88e-01	208.74	PARVG	parvin gamma
130399	2.79e-11	5.81e-14	0.1104	7.51	8.29e-01	204.79	ACVR1C	activin A receptor type 1C
10272	2.79e-11	5.92e-14	0.212	-7.51	-1.59	99.91	FSTL3	follistatin like 3
9719	2.87e-11	6.22e-14	0.2006	-7.50	-1.51	366.03	ADAMTSL2	ADAMTS like 2
9358	3.03e-11	6.71e-14	0.2276	-7.49	-1.71	291.49	ITGBL1	integrin subunit beta like 1
9168	3.09e-11	7.04e-14	0.1369	-7.49	-1.02	1410.94	TMSB10	thymosin beta 10
6850	3.09e-11	7.13e-14	0.1096	-7.49	-8.21e-01	270.91	SYK	spleen associated tyrosine kinase
91373	3.72e-11	8.84e-14	0.1321	-7.46	-9.85e-01	57.26	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1
9535	3.72e-11	8.90e-14	0.1232	-7.46	-9.18e-01	148.2	GMFG	glia maturation factor gamma
3491	3.74e-11	9.13e-14	0.4037	-7.45	-3.01	335.1	CCN1	cellular communication network factor 1
3576	3.92e-11	9.73e-14	0.406	-7.44	-3.02	52.71	CXCL8	C-X-C motif chemokine ligand 8
152007	4.09e-11	1.03e-13	0.1477	-7.44	-1.10	60.28	GLIPR2	GLI pathogenesis related 2
80727	5.00e-11	1.29e-13	0.2052	-7.41	-1.52	123.76	TTYH3	tweety family member 3
9509	5.23e-11	1.40e-13	0.1122	-7.40	-8.30e-01	487.68	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
340152	5.23e-11	1.44e-13	0.1194	-7.39	-8.82e-01	27.05	ZC3H12D	zinc finger CCCH-type containing 12D
4481	5.23e-11	1.44e-13	0.1784	-7.39	-1.32	572.28	MSR1	macrophage scavenger receptor 1
5971	5.23e-11	1.43e-13	0.174	-7.39	-1.29	41.36	RELB	RELB proto-oncogene, NF-kB subunit
6507	5.35e-11	1.50e-13	0.1912	-7.39	-1.41	113.68	SLC1A3	solute carrier family 1 member 3
2669	5.36e-11	1.53e-13	0.3152	-7.38	-2.33	216.72	GEM	GTP binding protein overexpressed in skeletal muscle
1278	6.17e-11	1.78e-13	0.1759	-7.36	-1.30	1950.08	COL1A2	collagen type I alpha 2 chain
752	6.19e-11	1.82e-13	0.1268	-7.36	-9.34e-01	120.55	FMNL1	formin like 1
10870	6.33e-11	1.89e-13	0.1817	-7.36	-1.34	28.45	HCST	hematopoietic cell signal transducer
4323	7.42e-11	2.28e-13	0.1518	-7.33	-1.11	323.19	MMP14	matrix metallopeptidase 14
7114	7.42e-11	2.28e-13	0.1148	-7.33	-8.41e-01	3970.68	TMSB4X	thymosin beta 4 X-linked
23764	7.52e-11	2.34e-13	0.3502	-7.33	-2.57	87.45	MAFF	MAF bZIP transcription factor F
100507347	7.65e-11	2.42e-13	0.2123	-7.32	-1.55	70.34	VIM-AS1	VIM antisense RNA 1
112597	9.20e-11	2.95e-13	0.2132	-7.30	-1.56	36.65	CYTOR	cytoskeleton regulator RNA
4046	1.00e-10	3.25e-13	0.1673	-7.28	-1.22	114.38	LSP1	lymphocyte specific protein 1
3164	1.08e-10	3.56e-13	0.4143	-7.27	-3.01	102.05	NR4A1	nuclear receptor subfamily 4 group A member 1
7058	1.14e-10	3.82e-13	0.2172	-7.26	-1.58	544.9	THBS2	thrombospondin 2
338382	1.38e-10	4.68e-13	0.2044	-7.23	-1.48	30.31	RAB7B	RAB7B, member RAS oncogene family
3936	1.38e-10	4.74e-13	0.1159	-7.23	-8.39e-01	1920.94	LCP1	lymphocyte cytosolic protein 1
1837	1.39e-10	4.82e-13	0.2055	-7.23	-1.49	261.88	DTNA	dystrobrevin alpha
51393	1.41e-10	4.96e-13	0.1372	-7.23	-9.91e-01	98.16	TRPV2	transient receptor potential cation channel subfamily V member 2
6696	1.61e-10	5.74e-13	0.3091	-7.21	-2.23	555.79	SPP1	secreted phosphoprotein 1
7456	1.72e-10	6.21e-13	0.1104	-7.20	-7.95e-01	536	WIPF1	WAS/WASL interacting protein family member 1
117143	1.79e-10	6.54e-13	0.068	7.19	4.89e-01	756.89	TADA1	transcriptional adaptor 1
1116	1.79e-10	6.64e-13	0.3777	-7.19	-2.71	426.95	CHI3L1	chitinase 3 like 1
5315	1.82e-10	6.82e-13	0.1517	-7.18	-1.09	550.43	PKM	pyruvate kinase M1/2
1284	1.84e-10	6.99e-13	0.2249	-7.18	-1.61	883.42	COL4A2	collagen type IV alpha 2 chain
7076	1.84e-10	7.08e-13	0.2714	-7.18	-1.95	750.12	TIMP1	TIMP metallopeptidase inhibitor 1
