ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_32_P6917	2.74e-02	1.23e-02	2.5780828	-3.5073547	0.7286649	FLAD1	flavin adenine dinucleotide synthetase 1
A_24_P407235	2.75e-02	1.23e-02	-2.5778637	-3.5078648	-0.6372474	CRY1	cryptochrome circadian clock 1
A_23_P27573	2.75e-02	1.23e-02	-2.5777534	-3.5081218	-0.397761	TFPT	TCF3 fusion partner
A_23_P117943	2.75e-02	1.23e-02	-2.5776404	-3.508385	-0.5698797		
A_24_P750164	2.75e-02	1.23e-02	-2.5775837	-3.508517	-1.278026	LINC01127	long intergenic non-protein coding RNA 1127
A_24_P921584	2.75e-02	1.23e-02	-2.5775505	-3.5085944	-0.6954513	ALDOA	aldolase, fructose-bisphosphate A
A_23_P67224	2.75e-02	1.23e-02	2.5769256	-3.5100493	0.7504627	TNFSF9	tumor necrosis factor superfamily member 9
A_23_P2645	2.75e-02	1.23e-02	-2.5768454	-3.5102362	-0.8376198	SDS	serine dehydratase
A_32_P61495	2.75e-02	1.23e-02	-2.5768379	-3.5102537	-1.0651584	FHAD1	forkhead associated phosphopeptide binding domain 1
A_24_P83758	2.75e-02	1.23e-02	2.5766753	-3.5106322	0.9976005	LOC440792	proline dehydrogenase 1 pseudogene
A_23_P121141	2.75e-02	1.23e-02	2.5766199	-3.5107612	0.4738945	ASTE1	asteroid homolog 1 (Drosophila)
A_24_P934971	2.76e-02	1.23e-02	-2.5764019	-3.5112687	-0.9559025		
A_32_P49616	2.76e-02	1.23e-02	-2.5761383	-3.5118823	-0.5285888	EEF1B2	eukaryotic translation elongation factor 1 beta 2
A_23_P139408	2.76e-02	1.23e-02	-2.5759913	-3.5122244	-0.5400228	ZNF148	zinc finger protein 148
A_24_P394698	2.76e-02	1.23e-02	-2.5758989	-3.5124395	-0.5950372	ORC5	origin recognition complex subunit 5
A_32_P230547	2.76e-02	1.23e-02	-2.5758893	-3.5124618	-0.5967901	DOCK7	dedicator of cytokinesis 7
A_32_P6841	2.76e-02	1.23e-02	-2.5758121	-3.5126415	-1.0637939		
A_32_P176036	2.76e-02	1.23e-02	-2.575784	-3.512707	-0.5220161	SHC3	SHC adaptor protein 3
A_32_P38745	2.77e-02	1.24e-02	2.5748921	-3.5147825	1.0083487		
A_24_P942068	2.77e-02	1.24e-02	-2.5745769	-3.5155158	-0.6715691	TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
A_23_P376172	2.77e-02	1.24e-02	2.5742449	-3.5162883	0.9006483	C1orf64	chromosome 1 open reading frame 64
A_23_P359738	2.77e-02	1.24e-02	-2.5741551	-3.5164972	-0.5129653	EPC2	enhancer of polycomb homolog 2
A_24_P92823	2.77e-02	1.24e-02	2.5740655	-3.5167055	0.9219996		
A_24_P188800	2.77e-02	1.24e-02	-2.5740173	-3.5168176	-1.2009963	MARCH1	membrane associated ring-CH-type finger 1
A_23_P57961	2.77e-02	1.24e-02	2.5740045	-3.5168474	1.1396114	PLXNB1	plexin B1
A_23_P331379	2.77e-02	1.24e-02	-2.5740033	-3.5168502	-0.7319878	NEDD4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
A_24_P757255	2.77e-02	1.24e-02	2.5736963	-3.5175643	0.5471919	GPR157	G protein-coupled receptor 157
A_23_P395111	2.77e-02	1.24e-02	-2.5734894	-3.5180455	-0.4576633		
A_23_P343865	2.77e-02	1.24e-02	-2.5734831	-3.5180601	-1.0692455	SATB2-AS1	SATB2 antisense RNA 1
A_23_P83931	2.77e-02	1.24e-02	-2.5734259	-3.5181932	-0.6666219	NET1	neuroepithelial cell transforming 1
A_23_P128073	2.77e-02	1.24e-02	-2.5733011	-3.5184835	-0.4707871	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
