ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
213426_s_at	3.18e-06	5.66e-07	5.59	5.366076	3.98e-01	CAV2	caveolin 2
209874_x_at	3.18e-06	5.67e-07	-5.59	5.364362	-3.52e-01	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2
204312_x_at	3.20e-06	5.70e-07	5.59	5.359768	4.72e-01	CREB1	cAMP responsive element binding protein 1
46256_at	3.21e-06	5.73e-07	-5.58	5.35498	-3.46e-01	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3
204285_s_at	3.21e-06	5.73e-07	5.58	5.354051	4.00e-01	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
216674_at	3.22e-06	5.75e-07	-5.58	5.351208	-2.38e-01	HES2	hes family bHLH transcription factor 2
208162_s_at	3.23e-06	5.76e-07	-5.58	5.349754	-2.52e-01		
217017_at	3.23e-06	5.77e-07	-5.58	5.3484	-2.65e-01	OSBPL10	oxysterol binding protein like 10
201474_s_at	3.27e-06	5.84e-07	5.58	5.335754	3.99e-01	ITGA3	integrin subunit alpha 3
222370_x_at	3.27e-06	5.85e-07	-5.58	5.334779	-2.83e-01		
204514_at	3.27e-06	5.85e-07	-5.58	5.334678	-3.66e-01	DPH2	DPH2 homolog
214903_at	3.28e-06	5.86e-07	-5.58	5.332579	-4.10e-01	SYT2	synaptotagmin 2
203987_at	3.30e-06	5.89e-07	5.58	5.327277	9.23e-01	FZD6	frizzled class receptor 6
213475_s_at	3.30e-06	5.91e-07	5.58	5.324854	4.08e-01	ITGAL	integrin subunit alpha L
211744_s_at	3.32e-06	5.93e-07	5.57	5.320228	8.42e-01	CD58	CD58 molecule
212764_at	3.34e-06	5.98e-07	5.57	5.31223	7.31e-01	ZEB1	zinc finger E-box binding homeobox 1
207524_at	3.34e-06	5.98e-07	-5.57	5.311915	-5.18e-01	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7
209090_s_at	3.35e-06	5.99e-07	5.57	5.311577	6.07e-01	SH3GLB1	SH3 domain containing GRB2 like endophilin B1
203880_at	3.35e-06	6.00e-07	-5.57	5.309855	-4.09e-01	POPDC2///COX17	popeye domain containing 2///COX17, cytochrome c oxidase copper chaperone
218022_at	3.35e-06	6.00e-07	-5.57	5.308686	-3.48e-01	VRK3	vaccinia related kinase 3
206599_at	3.37e-06	6.03e-07	-5.57	5.304927	-3.13e-01	SLC16A5	solute carrier family 16 member 5
201126_s_at	3.37e-06	6.04e-07	-5.57	5.303375	-3.06e-01	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
217968_at	3.37e-06	6.04e-07	-5.57	5.302803	-3.32e-01	TSSC1	tumor suppressing subtransferable candidate 1
208650_s_at	3.37e-06	6.05e-07	5.57	5.301486	1.59	CD24	CD24 molecule
212276_at	3.38e-06	6.05e-07	-5.57	5.301128	-6.23e-01	LPIN1	lipin 1
221325_at	3.38e-06	6.06e-07	-5.57	5.299458	-2.61e-01	KCNK13	potassium two pore domain channel subfamily K member 13
213817_at	3.40e-06	6.09e-07	5.57	5.293803	9.30e-01	IRAK3	interleukin 1 receptor associated kinase 3
215582_x_at	3.40e-06	6.10e-07	-5.57	5.29366	-3.81e-01	MCM3AP	minichromosome maintenance complex component 3 associated protein
